Unnamed: 0,event_id,match_id,match_period,minute,second,match_timestamp,video_timestamp,primary_type,secondary_types,location_x,location_y,team_id,team_name,team_formation,opponent_team_id,opponent_team_name,opponent_team_formation,player_id,player_name,player_position,pass_accurate,pass_angle,pass_length,recipient_id,recipient_name,recipient_position,end_location_x,end_location_y,shot_body_part,is_goal,on_target,goal_zone,xg,post_shot_xg,goalkeeper_action_id,goalkeeper,opponent_id_ground_duel,opponent_name_ground_duel,opponent_position_ground_duel,duel_type_ground_duel,kept_possession_ground_duel,progressed_with_ball_ground_duel,stopped_progress_ground_duel,recovered_possession_ground_duel,take_on_ground_duel,side_ground_duel,related_duel_id_ground_duel,opponent_id_aerial_duel,opponent_name_aerial_duel,opponent_position_aerial_duel,opponent_height_aerial_duel,first_touch_aerial_duel,height_aerial_duel,related_duel_id_aerial_duel,yellow_card,red_card,infraction_type,opponent_id_infraction,opponent_name_infraction,opponent_position_infraction,carry_progression,end_location_x_carry,end_location_y_carry,possession_id,possession_duration,possession_types,events_number,event_index,start_location_x,start_location_y,end_location_x_possession,end_location_y_possession,team_id_possession,team_name_possession,team_formation_possession,with_shot,with_shot_on_goal,with_goal,flank,xg_possession,back_pass,short_or_medium_pass,lateral_pass,forward_pass,progressive_pass,loose_ball_duel,carry,long_pass,pass_to_final_third,opportunity,head_pass,recovery,under_pressure,ball_out,loss,hand_pass,foul_suffered,ground_duel,linkup_play,offensive_duel,defensive_duel,foul,dribble,aerial_duel,counterpressing_recovery,pass,deep_completion,touch_in_box,interception,sliding_tackle,progressive_run,smart_pass,cross,deep_completed_cross,pass_to_penalty_area,second_assist,assist,key_pass,shot_assist,goal,conceded_goal,dribbled_past_attempt,shot_after_throw_in,shot_block,free_kick_cross,save,save_with_reflex,shot_after_corner,cross_blocked,through_pass,free_kick_shot,shot,head_shot,whistle,shot_after_free_kick,acceleration,penalty_foul,penalty_goal,penalty_conceded_goal,third_assist,penalty_save,normal_pass,accurate,not_accurate
206587,1850121526,5476362,1H,0,49,00:00:49.018,50.018759,pass,"lateral_pass, short_or_medium_pass",25,40,3236,Monza,3-4-2-1,3173,Cagliari,3-4-3,20704,L. Caldirola,CB,True,-90.0,18.0,583587.0,A. Carboni,LCB3,25.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1850121515.0,51.189923,['attack'],26.0,11.0,18.0,24.0,90.0,25.0,3236.0,Monza,3-4-2-1,True,False,False,center,0.0272,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
402299,2098590770,5476478,2H,70,28,01:10:28.312,4477.312364,pass,"forward_pass, short_or_medium_pass",76,91,3192,Salernitana,3-4-2-1,3178,Empoli,5-4-1,586584,L. Tchaouna,RWB,True,0.0,8.0,20556.0,A. Candreva,AMF,84.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,2098590761.0,25.4224385,"['attack', 'throw_in']",11.0,5.0,80.0,100.0,87.0,65.0,3192.0,Salernitana,3-4-2-1,False,False,False,right,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
474168,2126764765,5476524,1H,11,10,00:11:10.726,671.72645,pass,"back_pass, short_or_medium_pass",46,11,3159,Juventus,3-5-2,3193,Genoa,3-5-2,127796,F. Kostić,LWB,True,153.0,16.0,70083.0,Danilo,LCB3,32.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,2126764737.0,58.0239585,['throw_in'],20.0,12.0,54.0,0.0,80.0,12.0,3159.0,Juventus,3-5-2,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
401860,2098590205,5476478,2H,46,4,00:46:04.083,3013.083833,pass,"lateral_pass, short_or_medium_pass",58,89,3192,Salernitana,3-4-2-1,3178,Empoli,5-4-1,335763,J. Sambia,RCB3,True,-130.0,17.0,441701.0,G. Maggiore,RCMF,48.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,2098590187.0,29.7390795,"['attack', 'throw_in']",14.0,8.0,42.0,0.0,91.0,58.0,3192.0,Salernitana,3-4-2-1,False,False,False,left,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
388365,2089510037,5476470,2H,58,17,00:58:17.591,3571.591684,pass,"forward_pass, pass_to_final_third, progressive_pass, short_or_medium_pass",54,52,3166,Bologna,4-1-4-1,3168,Lecce,4-2-3-1,49991,R. Freuler,DMF,True,16.0,15.0,445146.0,L. Ferguson,LCMF,68.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,2089510032.0,27.9776075,['attack'],22.0,3.0,48.0,51.0,100.0,25.0,3166.0,Bologna,4-1-4-1,False,False,False,left,0.0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
148234,1810758445,5476328,1H,6,30,00:06:30.865,391.865689,pass,"deep_completion, head_pass, lateral_pass, short_or_medium_pass, touch_in_box",95,36,3168,Lecce,4-3-3,3163,Udinese,3-5-2,498425,P. Almqvist,RWF,True,103.0,22.0,756418.0,M. Kaba,RCMF3,90.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1810758442.0,29.9414225,"['corner', 'set_piece_attack', 'attack']",10.0,1.0,100.0,0.0,81.0,82.0,3168.0,Lecce,4-3-3,False,False,False,center,0.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26571,1734633128,5476255,2H,48,13,00:48:13.482,3286.482409,pass,"back_pass, short_or_medium_pass",47,29,3157,Milan,4-3-3,3185,Torino,3-4-2-1,520698,T. Reijnders,LCMF3,True,135.0,19.0,291591.0,F. Tomori,LCB,34.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1734633103.0,78.1315635,"['set_piece_attack', 'attack', 'free_kick']",32.0,19.0,43.0,84.0,86.0,38.0,3157.0,Milan,4-3-3,False,False,False,right,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
428479,2103779988,5476494,1H,28,20,00:28:20.274,1701.27492,pass,"lateral_pass, short_or_medium_pass",37,58,3159,Juventus,3-4-3,3254,Frosinone,5-3-2,475319,Bremer,CB,True,-81.0,26.0,134427.0,D. Rugani,LCB3,41.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,2103779985.0,31.8453715,[],9.0,3.0,36.0,81.0,88.0,48.0,3159.0,Juventus,3-4-3,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
228016,1856753525,5476374,2H,62,40,01:02:40.735,3832.735718,pass,"deep_completion, forward_pass, loss, pass_to_penalty_area, progressive_pass, recovery, counterpressing_recovery, short_or_medium_pass, smart_pass, through_pass",72,28,3254,Frosinone,4-2-3-1,3157,Milan,4-2-3-1,590733,M. Soulé,RAMF,True,5.0,23.0,532674.0,M. Çuni,CF,94.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1856753525.0,1.9850645,['attack'],1.0,0.0,72.0,28.0,94.0,31.0,3254.0,Frosinone,4-2-3-1,False,False,False,left,0.0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
384120,2080403241,5476468,1H,1,7,00:01:07.028,68.028314,pass,"lateral_pass, short_or_medium_pass",3,48,3185,Torino,3-4-3,3192,Salernitana,3-4-2-1,283062,V. Milinković-Savić,GK,True,52.0,33.0,28230.0,A. Tamèze,RCB3,22.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,2080403227.0,72.0222755,[],22.0,20.0,49.0,50.0,92.0,82.0,3185.0,Torino,3-4-3,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
