Unnamed: 0,event_id,match_id,match_period,minute,second,match_timestamp,video_timestamp,primary_type,secondary_types,location_x,location_y,team_id,team_name,team_formation,opponent_team_id,opponent_team_name,opponent_team_formation,player_id,player_name,player_position,pass_accurate,pass_angle,pass_length,recipient_id,recipient_name,recipient_position,end_location_x,end_location_y,shot_body_part,is_goal,on_target,goal_zone,xg,post_shot_xg,goalkeeper_action_id,goalkeeper,opponent_id_ground_duel,opponent_name_ground_duel,opponent_position_ground_duel,duel_type_ground_duel,kept_possession_ground_duel,progressed_with_ball_ground_duel,stopped_progress_ground_duel,recovered_possession_ground_duel,take_on_ground_duel,side_ground_duel,related_duel_id_ground_duel,opponent_id_aerial_duel,opponent_name_aerial_duel,opponent_position_aerial_duel,opponent_height_aerial_duel,first_touch_aerial_duel,height_aerial_duel,related_duel_id_aerial_duel,yellow_card,red_card,infraction_type,opponent_id_infraction,opponent_name_infraction,opponent_position_infraction,carry_progression,end_location_x_carry,end_location_y_carry,possession_id,possession_duration,possession_types,events_number,event_index,start_location_x,start_location_y,end_location_x_possession,end_location_y_possession,team_id_possession,team_name_possession,team_formation_possession,with_shot,with_shot_on_goal,with_goal,flank,xg_possession,back_pass,short_or_medium_pass,lateral_pass,forward_pass,progressive_pass,loose_ball_duel,carry,long_pass,pass_to_final_third,opportunity,head_pass,recovery,under_pressure,ball_out,loss,hand_pass,foul_suffered,ground_duel,linkup_play,offensive_duel,defensive_duel,foul,dribble,aerial_duel,counterpressing_recovery,pass,deep_completion,touch_in_box,interception,sliding_tackle,progressive_run,smart_pass,cross,deep_completed_cross,pass_to_penalty_area,second_assist,assist,key_pass,shot_assist,goal,conceded_goal,dribbled_past_attempt,shot_after_throw_in,shot_block,free_kick_cross,save,save_with_reflex,shot_after_corner,cross_blocked,through_pass,free_kick_shot,shot,head_shot,whistle,shot_after_free_kick,acceleration,penalty_foul,penalty_goal,penalty_conceded_goal,third_assist,penalty_save,flank_right,flank_left,flank_center,accurate,not_accurate
156090,1818187640,5476332,2H,65,1,01:05:01.305,4093.305877,pass,"cross, forward_pass",77,82,3192,Salernitana,4-2-3-1,3193,Genoa,4-4-2,335763,J. Sambia,RB,False,25.0,26.0,0.0,,,100.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1818187627.0,26.9079385,"['attack', 'throw_in']",14.0,12.0,89.0,100.0,100.0,98.0,3192.0,Salernitana,4-2-3-1,False,False,False,right,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
172197,1827938555,5476341,2H,94,3,01:34:03.299,5653.29945,pass,"cross, forward_pass, loss, pass_to_penalty_area",68,79,3162,Lazio,4-1-4-1,3166,Bologna,4-2-3-1,4792,Patric,RCB,False,-33.0,38.0,99430.0,Ł. Skorupski,GK,98.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1827938531.0,95.190119,"['attack', 'transition_low']",29.0,21.0,30.0,19.0,75.0,94.0,3162.0,Lazio,4-1-4-1,False,False,False,right,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
295952,1961651645,5476415,2H,62,48,01:02:48.101,3919.101403,pass,"cross, lateral_pass, pass_to_penalty_area",91,92,3254,Frosinone,3-4-2-1,3162,Lazio,4-3-3,450972,A. Harroui,AMF,False,-100.0,23.0,228928.0,A. Marušić,RB,88.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1961651644.0,4.7272465,['attack'],8.0,1.0,83.0,90.0,72.0,59.0,3254.0,Frosinone,3-4-2-1,True,False,False,right,0.0078,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
462432,2121408623,5476516,1H,10,51,00:10:51.621,652.621764,pass,"cross, lateral_pass, loss, pass_to_penalty_area",93,13,3168,Lecce,4-3-3,3194,Hellas Verona,4-2-3-1,471122,A. Gallo,LB,False,98.0,22.0,302600.0,S. Serdar,LDMF,90.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,2121408618.0,5.3181515,"['attack', 'throw_in']",5.0,4.0,80.0,0.0,90.0,45.0,3168.0,Lecce,4-3-3,False,False,False,left,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
259200,1871188969,5476393,1H,33,29,00:33:29.874,2010.874359,pass,"cross, lateral_pass, loss, pass_to_penalty_area",97,86,3193,Genoa,3-5-2,3159,Juventus,3-5-2,216568,A. Gudmundsson,CF,False,-90.0,19.0,70083.0,Danilo,LCB3,97.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1871188955.0,15.8628265,"['set_piece_attack', 'attack', 'free_kick']",9.0,8.0,44.0,83.0,97.0,58.0,3193.0,Genoa,3-5-2,False,False,False,right,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
77180,1770383647,5476285,2H,80,59,01:20:59.833,5024.833794,pass,"cross, lateral_pass, loss, pass_to_penalty_area",77,7,3194,Hellas Verona,3-4-3,3157,Milan,3-4-3,615121,J. Cabal,LWB,False,69.0,30.0,23705.0,M. Sportiello,GK,88.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1770383641.0,10.366588,"['attack', 'transition_high']",6.0,5.0,80.0,28.0,88.0,48.0,3194.0,Hellas Verona,3-4-3,False,False,False,left,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
301756,1918281669,5476419,1H,25,59,00:25:59.834,1560.834018,pass,"cross, cross_blocked",91,11,3192,Salernitana,4-1-4-1,3194,Hellas Verona,4-2-3-1,586584,L. Tchaouna,LW,False,82.0,61.0,0.0,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1918281644.0,38.1746505,"['attack', 'transition_low']",27.0,25.0,30.0,58.0,91.0,23.0,3192.0,Salernitana,4-1-4-1,False,False,False,left,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
229653,1860161155,5476375,2H,62,1,01:02:01.314,3867.314993,pass,"cross, deep_completed_cross, lateral_pass, pass_to_penalty_area, progressive_pass",88,18,3159,Juventus,3-5-2,3236,Monza,4-4-2,447804,F. Chiesa,SS,True,84.0,27.0,471348.0,W. McKennie,RCMF3,90.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1860161150.0,6.528748,"['attack', 'throw_in']",7.0,3.0,87.0,0.0,98.0,49.0,3159.0,Juventus,3-5-2,False,False,False,left,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
101340,1785889470,5476300,1H,10,9,00:10:09.896,610.896538,pass,"cross, lateral_pass, loss, pass_to_penalty_area",97,13,3172,Atalanta,3-4-3,3159,Juventus,3-5-2,365444,T. Koopmeiners,LWF,False,101.0,15.0,475319.0,Bremer,CB,94.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1785889464.0,11.8394895,"['attack', 'transition_medium']",5.0,4.0,43.0,67.0,94.0,35.0,3172.0,Atalanta,3-4-3,False,False,False,left,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
31198,1737695878,5476258,1H,32,14,00:32:14.216,1935.216041,pass,"cross, deep_completed_cross, lateral_pass, pass_to_penalty_area, progressive_pass",78,29,3163,Udinese,3-5-2,3192,Salernitana,3-4-3,333212,S. Lovrič,LCMF3,True,47.0,24.0,562387.0,L. Lucca,CF,93.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1737694619.0,19.2805725,"['set_piece_attack', 'attack', 'free_kick']",12.0,8.0,34.0,76.0,100.0,65.0,3163.0,Udinese,3-5-2,False,False,False,left,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
