Unnamed: 0,event_id,match_id,match_period,minute,second,match_timestamp,video_timestamp,primary_type,secondary_types,location_x,location_y,team_id,team_name,team_formation,opponent_team_id,opponent_team_name,opponent_team_formation,player_id,player_name,player_position,pass_accurate,pass_angle,pass_length,recipient_id,recipient_name,recipient_position,end_location_x,end_location_y,shot_body_part,is_goal,on_target,goal_zone,xg,post_shot_xg,goalkeeper_action_id,goalkeeper,opponent_id_ground_duel,opponent_name_ground_duel,opponent_position_ground_duel,duel_type_ground_duel,kept_possession_ground_duel,progressed_with_ball_ground_duel,stopped_progress_ground_duel,recovered_possession_ground_duel,take_on_ground_duel,side_ground_duel,related_duel_id_ground_duel,opponent_id_aerial_duel,opponent_name_aerial_duel,opponent_position_aerial_duel,opponent_height_aerial_duel,first_touch_aerial_duel,height_aerial_duel,related_duel_id_aerial_duel,yellow_card,red_card,infraction_type,opponent_id_infraction,opponent_name_infraction,opponent_position_infraction,carry_progression,end_location_x_carry,end_location_y_carry,possession_id,possession_duration,possession_types,events_number,event_index,start_location_x,start_location_y,end_location_x_possession,end_location_y_possession,team_id_possession,team_name_possession,team_formation_possession,with_shot,with_shot_on_goal,with_goal,flank,xg_possession,back_pass,short_or_medium_pass,lateral_pass,forward_pass,progressive_pass,loose_ball_duel,carry,long_pass,pass_to_final_third,opportunity,head_pass,recovery,under_pressure,ball_out,loss,hand_pass,foul_suffered,ground_duel,linkup_play,offensive_duel,defensive_duel,foul,dribble,aerial_duel,counterpressing_recovery,pass,deep_completion,touch_in_box,interception,sliding_tackle,progressive_run,smart_pass,cross,deep_completed_cross,pass_to_penalty_area,second_assist,assist,key_pass,shot_assist,goal,conceded_goal,dribbled_past_attempt,shot_after_throw_in,shot_block,free_kick_cross,save,save_with_reflex,shot_after_corner,cross_blocked,through_pass,free_kick_shot,shot,head_shot,whistle,shot_after_free_kick,acceleration,penalty_foul,penalty_goal,penalty_conceded_goal,third_assist,penalty_save,on_target_true,on_target_false,goal_true,goal_false,right_foot_true,left_foot_true,head_or_other_true,head_or_other_foot_true
480109,2133982157,5476527,2H,51,59,00:51:59.886,3224.886374,shot,"opportunity, shot_after_free_kick, touch_in_box",89,60,3168,Lecce,4-2-3-1,3192,Salernitana,4-4-1-1,498425,P. Almqvist,RAMF,,,,,,,,,left_foot,False,False,otl,0.2942,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,2133982157.0,0.0,['attack'],1.0,0.0,89.0,60.0,89.0,60.0,3168.0,Lecce,4-2-3-1,True,False,False,center,0.2942,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,
431225,2103985689,5476495,2H,85,29,01:25:29.888,5280.888313,shot,"head_shot, opportunity, touch_in_box",89,56,3168,Lecce,4-2-3-1,3161,Internazionale,3-5-2,499876,R. Piccoli,CF,,,,,,,,,head_or_other,False,True,gc,0.07194,0.06923,2103985486.0,"{'id': 257027, 'name': 'E. Audero'}",,,,,,,,,,,,,,,,,,,0,0,,,,,,,,2103985654.0,84.46953,['attack'],34.0,33.0,39.0,29.0,89.0,56.0,3168.0,Lecce,4-2-3-1,True,True,False,right,0.0719,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1.0
321076,1960314653,5476431,1H,3,20,00:03:20.896,201.896219,shot,"opportunity, shot_after_corner",81,58,3166,Bologna,4-2-3-1,3173,Cagliari,4-3-2-1,49991,R. Freuler,RDMF,,,,,,,,,right_foot,False,False,otl,0.0623,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1960314648.0,2.1283405,"['corner', 'set_piece_attack', 'attack']",4.0,3.0,100.0,0.0,81.0,58.0,3166.0,Bologna,4-2-3-1,True,False,False,left,0.0623,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,
127219,1795644876,5476315,2H,56,54,00:56:54.696,3490.696391,shot,opportunity,84,31,3185,Torino,3-4-3,3159,Juventus,5-3-2,86243,D. Zapata,CF,,,,,,,,,right_foot,False,False,otr,0.06435,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1795644868.0,17.771983,"['counterattack', 'attack']",7.0,6.0,11.0,39.0,84.0,31.0,3185.0,Torino,3-4-3,True,False,False,right,0.0644,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,
210548,1857293771,5476364,1H,37,36,00:37:36.911,2257.911466,shot,"goal, opportunity",71,49,3193,Genoa,4-4-1-1,3254,Frosinone,4-2-3-1,138548,R. Malinovskyi,AMF,,,,,,,,,left_foot,True,True,gtr,0.03446,0.2774,1857294078.0,"{'id': 518046, 'name': 'S. Turati'}",,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1857293762.0,8.322953,['attack'],7.0,6.0,63.0,3.0,71.0,49.0,3193.0,Genoa,4-4-1-1,True,True,True,left,0.0345,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,
306699,1920543591,5476422,1H,8,5,00:08:05.857,486.857947,shot,"opportunity, shot_after_throw_in, touch_in_box",92,31,3254,Frosinone,3-4-3,3236,Monza,3-4-2-1,546863,W. Cheddira,CF,,,,,,,,,left_foot,False,False,ol,0.0594,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1920543590.0,0.891183,['attack'],2.0,1.0,78.0,18.0,92.0,31.0,3254.0,Frosinone,3-4-3,True,False,False,left,0.0594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,
344321,1988858978,5476444,2H,67,38,01:07:38.424,4206.424532,shot,"goal, opportunity, touch_in_box",97,51,3159,Juventus,5-3-2,3168,Lecce,4-3-3,418950,D. Vlahović,SS,,,,,,,,,right_foot,True,True,gr,0.4328,0.8556,1988858958.0,"{'id': 226222, 'name': 'W. Falcone'}",,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1988858604.0,14.4575675,"['corner', 'set_piece_attack', 'attack']",7.0,6.0,100.0,100.0,97.0,51.0,3159.0,Juventus,5-3-2,True,True,True,right,0.4328,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,
34725,1744223538,5476260,2H,45,52,00:45:52.794,2878.794677,shot,,81,46,3172,Atalanta,3-4-2-1,3236,Monza,3-4-2-1,498456,Éderson,LCMF,,,,,,,,,left_foot,False,False,otl,0.03095,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1744223517.0,12.744617,['attack'],8.0,7.0,70.0,64.0,81.0,46.0,3172.0,Atalanta,3-4-2-1,True,False,False,center,0.0309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,
202154,1835296705,5476359,1H,47,18,00:47:18.259,2839.259204,shot,"head_shot, opportunity, touch_in_box",90,44,3172,Atalanta,3-4-3,3163,Udinese,5-3-2,262048,A. Miranchuk,LWF,,,,,,,,,head_or_other,False,False,olb,0.08797,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1835297642.0,36.2261675,"['set_piece_attack', 'attack', 'free_kick']",8.0,7.0,59.0,15.0,90.0,44.0,3172.0,Atalanta,3-4-3,True,False,False,right,0.088,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1.0
477350,2137321013,5476525,2H,90,22,01:30:22.240,5500.240474,shot,,71,45,3173,Cagliari,4-2-3-1,3236,Monza,4-2-3-1,737882,M. Prati,RDMF,,,,,,,,,right_foot,False,False,olb,0.001196,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,2137320994.0,24.269086,"['attack', 'throw_in']",12.0,11.0,45.0,100.0,71.0,45.0,3173.0,Cagliari,4-2-3-1,True,False,False,left,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,
