Unnamed: 0,event_id,match_id,match_period,minute,second,match_timestamp,video_timestamp,primary_type,secondary_types,location_x,location_y,team_id,team_name,team_formation,opponent_team_id,opponent_team_name,opponent_team_formation,player_id,player_name,player_position,pass_accurate,pass_angle,pass_length,recipient_id,recipient_name,recipient_position,end_location_x,end_location_y,shot_body_part,is_goal,on_target,goal_zone,xg,post_shot_xg,goalkeeper_action_id,goalkeeper,opponent_id_ground_duel,opponent_name_ground_duel,opponent_position_ground_duel,duel_type_ground_duel,kept_possession_ground_duel,progressed_with_ball_ground_duel,stopped_progress_ground_duel,recovered_possession_ground_duel,take_on_ground_duel,side_ground_duel,related_duel_id_ground_duel,opponent_id_aerial_duel,opponent_name_aerial_duel,opponent_position_aerial_duel,opponent_height_aerial_duel,first_touch_aerial_duel,height_aerial_duel,related_duel_id_aerial_duel,yellow_card,red_card,infraction_type,opponent_id_infraction,opponent_name_infraction,opponent_position_infraction,carry_progression,end_location_x_carry,end_location_y_carry,possession_id,possession_duration,possession_types,events_number,event_index,start_location_x,start_location_y,end_location_x_possession,end_location_y_possession,team_id_possession,team_name_possession,team_formation_possession,with_shot,with_shot_on_goal,with_goal,flank,xg_possession,back_pass,short_or_medium_pass,lateral_pass,forward_pass,progressive_pass,loose_ball_duel,carry,long_pass,pass_to_final_third,opportunity,head_pass,recovery,under_pressure,ball_out,loss,hand_pass,foul_suffered,ground_duel,linkup_play,offensive_duel,defensive_duel,foul,dribble,aerial_duel,counterpressing_recovery,pass,deep_completion,touch_in_box,interception,sliding_tackle,progressive_run,smart_pass,cross,deep_completed_cross,pass_to_penalty_area,second_assist,assist,key_pass,shot_assist,goal,conceded_goal,dribbled_past_attempt,shot_after_throw_in,shot_block,free_kick_cross,save,save_with_reflex,shot_after_corner,cross_blocked,through_pass,free_kick_shot,shot,head_shot,whistle,shot_after_free_kick,acceleration,penalty_foul,penalty_goal,penalty_conceded_goal,third_assist,penalty_save
115716,1781663779,5476308,1H,47,10,00:47:10.829,2831.829754,interception,,4,36,3194,Hellas Verona,3-4-2-1,3185,Torino,3-4-2-1,127534,D. Lazović,LWB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1781663779.0,8.1494445,[],1.0,0.0,4.0,36.0,45.0,74.0,3194.0,Hellas Verona,3-4-2-1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301509,1918281326,5476419,1H,12,5,00:12:05.023,726.023022,interception,head_pass,9,74,3194,Hellas Verona,4-2-3-1,3192,Salernitana,4-1-4-1,247996,P. Dawidowicz,RCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1918281326.0,16.2350085,[],5.0,0.0,9.0,74.0,0.0,95.0,3194.0,Hellas Verona,4-2-3-1,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302800,1918282593,5476419,2H,84,22,01:24:22.000,5282.000538,interception,"forward_pass, loss, pass, short_or_medium_pass",36,92,3194,Hellas Verona,4-2-3-1,3192,Salernitana,4-1-4-1,639489,F. Terracciano,RB,False,-22.0,32.0,441701.0,G. Maggiore,DMF,64.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1918282844.0,60.037346,"['attack', 'transition_medium']",33.0,11.0,54.0,91.0,89.0,46.0,3192.0,Salernitana,4-1-4-1,False,False,False,right,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113505,1789812917,5476307,1H,14,0,00:14:00.418,841.418288,interception,"shot_block, touch_in_box",94,30,3315,Sassuolo,4-2-3-1,3236,Monza,3-4-3,507518,D. Boloca,RDMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409730,2091329648,5476483,1H,9,14,00:09:14.447,555.447529,interception,,5,59,3192,Salernitana,3-4-2-1,3161,Internazionale,3-5-2,481198,T. Pasalidis,RCB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,2091329648.0,1.319355,[],2.0,0.0,5.0,59.0,0.0,36.0,3192.0,Salernitana,3-4-2-1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280994,1877011685,5476406,1H,37,14,00:37:14.514,2235.514175,interception,"head_pass, loss, carry",6,43,3192,Salernitana,4-1-4-1,3157,Milan,4-2-3-1,515713,B. Dia,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,12.94,22.0,12.0,1877011557.0,7.524383,"['corner', 'set_piece_attack', 'attack']",6.0,1.0,100.0,100.0,86.0,52.0,3157.0,Milan,4-2-3-1,False,False,False,right,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,1723218720,5476240,1H,22,49,00:22:49.543,1370.543806,interception,"head_pass, lateral_pass, loss, pass, progressive_pass, short_or_medium_pass",35,42,3157,Milan,4-3-3,3166,Bologna,4-1-3-2,291591,F. Tomori,LCB,False,-95.0,22.0,541676.0,D. Ndoye,RAMF,33.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1723218591.0,74.5386885,['attack'],33.0,17.0,14.0,50.0,86.0,66.0,3166.0,Bologna,4-1-3-2,True,False,False,left,0.0762,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435018,2100004586,5476498,1H,18,30,00:18:30.100,1111.100804,interception,"loss, recovery",4,75,3236,Monza,4-2-3-1,3192,Salernitana,5-4-1,22883,A. Izzo,RCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,2100003332.0,7.529091,['attack'],8.0,5.0,67.0,22.0,100.0,26.0,3192.0,Salernitana,5-4-1,False,False,False,left,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155873,1818187339,5476332,2H,51,9,00:51:09.006,3261.006251,interception,"pass, recovery, short_or_medium_pass",19,37,3192,Salernitana,5-3-2,3193,Genoa,3-5-2,584116,L. Pirola,LCB3,True,68.0,11.0,403825.0,E. Bohinen,DMF,23.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1818187222.0,27.961924,"['attack', 'transition_medium']",20.0,13.0,45.0,48.0,42.0,82.0,3193.0,Genoa,3-5-2,False,False,False,left,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204028,1848626555,5476360,2H,50,42,00:50:42.935,3290.935813,interception,"forward_pass, pass, progressive_pass, recovery, short_or_medium_pass",69,83,3187,Napoli,4-3-3,3172,Atalanta,3-4-1-2,366401,F. Anguissa,RCMF3,True,0.0,20.0,208696.0,M. Politano,RWF,88.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1848626555.0,3.0832275,['attack'],4.0,0.0,69.0,83.0,87.0,55.0,3187.0,Napoli,4-3-3,True,False,False,right,0.1545,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
