,Class 0,Class 1,Class 2,Class 3,Class 4
Class 0,24,1,0,9,7
Class 1,17,3,0,32,118
Class 2,19,1,0,17,52
Class 3,6,2,0,13,30
Class 4,13,1,0,8,79
