clip_id,true_label,predicted_label
1865228198,0,0
1733519384,1,0
1759886023,1,1
2044106208,1,0
1790030883,0,0
1774745819,0,0
1840065331,1,0
1878455999,1,0
2045813301,1,0
1838652940,1,0
1835513865,0,0
2088961279,1,0
1778781680,1,0
1848677421,0,0
1741177113,0,0
1758799552,1,0
1912513396,1,0
2019658872,0,0
1795644433,1,0
1881961136,1,0
2010515466,0,0
1771814112,0,0
2010144012,1,0
2103984784,0,0
2135530415,1,0
1922678054,1,0
1827936619,0,0
1832490712,1,0
1885895483,1,0
1850121729,0,0
1720901351,0,0
2041803648,1,0
1885895593,1,1
1747541412,1,0
1848628608,1,0
1764170552,0,1
1758801842,1,0
1848677114,1,1
1856754483,1,0
1770383172,0,0
1791182121,1,1
1759887296,1,1
1840066453,0,1
2099810851,1,0
