clip_id,true_label,predicted_label
1818187661,2,0
1788470913,0,0
2106035313,2,0
1720901852,0,0
1840065171,1,2
1956178910,0,2
1766249348,0,0
2019659270,2,0
1781704342,2,2
1777958943,0,2
2099524977,2,2
2091573480,1,0
1773519952,2,0
1790031264,1,0
1871980116,0,0
1837225265,1,0
1878457220,0,0
1791182765,0,0
1869673189,0,2
1868624879,0,2
1867116877,0,2
2105075636,2,0
1794258288,0,0
1911882805,1,0
1935501824,2,0
1881961728,2,0
1850121919,0,2
1835296194,0,0
2090597986,1,0
2090216514,2,2
1813545546,2,2
2100199547,2,2
2099808985,0,2
1747541137,2,0
1827937127,0,0
1960315198,2,0
1850338614,1,0
2097701626,0,0
2095595193,1,0
1758800056,0,2
1747540761,2,2
1742279538,2,0
1725706096,1,0
1770728673,2,2
2091329728,0,0
1731019123,2,2
1731646803,2,0
1866521609,0,0
1867115457,2,0
1734632577,0,2
1772169114,2,0
2120719127,0,0
1720901185,2,0
1741176426,0,0
2091573482,2,0
2103780036,0,2
1912514355,2,0
2080815677,0,2
1747541957,2,0
1848676767,2,2
1760588766,2,0
1759873178,2,0
2080789637,2,0
1794258658,2,2
1734633207,2,0
1772170645,0,0
1838653468,2,0
1791371513,1,0
1871881544,0,2
2080789536,2,0
2080789579,2,0
1848677599,2,2
1775799759,2,0
1835514887,0,2
1791274024,2,0
2097702927,2,2
1815692863,2,2
1729533246,0,0
1770729718,0,2
2041804034,2,0
1773520046,2,0
1881961030,1,0
1830581416,0,0
1772936111,2,0
1733520070,0,0
1832339362,0,2
1842386544,0,2
1781663059,2,2
1723219028,2,0
1848676456,2,2
1806299521,2,2
1766249346,2,0
2100200161,1,0
1742281250,2,0
1772169130,0,0
1759874489,0,0
1789944931,0,2
1811579860,2,2
1956178594,2,2
1734134972,2,2
