clip_id,true_label,predicted_label
1813545530,2,2
1813545443,2,2
2087627990,2,2
1762936526,2,2
2046110382,2,2
2099809376,2,2
1791372101,2,2
1809993151,2,2
1734135770,2,2
1773518338,2,2
2010144183,2,2
2099810732,2,2
2041803646,2,2
1742405297,2,2
2103780126,2,2
1781663946,1,1
1733177448,2,2
2099809367,1,2
1822446693,1,2
1744060400,2,2
1760588175,2,2
1834873308,0,2
1912512911,2,2
2097509898,2,2
1881961682,2,2
1789946293,2,2
1780914049,2,2
2105075111,0,2
1731018523,2,2
1815693506,1,2
1806298210,1,2
1723219195,2,2
1744223073,2,2
1868917474,2,2
1758800267,2,2
1861753683,2,2
1982623128,2,2
2099809711,2,2
1866521734,2,2
1725706376,1,2
1935501976,2,2
1734135704,2,2
1868918977,2,2
2091330278,2,2
1811579210,2,2
1759885645,2,2
1842386862,2,2
1817219787,2,2
1832229583,2,2
2005596368,2,2
2051382110,0,2
2088098450,2,2
1878456455,2,2
1819115219,2,2
1835297474,2,2
2046109657,2,2
1871880492,2,2
1770728929,2,2
1733151127,2,1
1775800876,2,2
1973245527,2,2
1725460670,1,2
1780913249,2,2
1832834325,2,2
1840065581,2,2
1819114256,1,2
1856240240,2,2
1768201989,2,2
2046109544,2,2
