clip_id,true_label,predicted_label
1770671797,1,1
1778568790,0,1
2098590040,1,1
1758802340,0,1
1885895593,1,1
1731646178,1,1
1832835293,1,1
1797029208,1,1
1733178130,0,1
1956178320,1,1
1734135183,1,1
1777958764,0,1
1852521602,1,1
1912513322,0,1
1869673391,0,1
2091338510,1,1
1734632278,1,1
1791182121,1,1
2046111036,0,1
1878455999,1,1
1729534064,0,1
1861059432,1,1
1861753175,0,1
1790032095,1,1
1912513396,1,1
2019658872,0,1
1809600032,0,1
1838652940,1,1
1815691916,0,1
1759886593,1,1
2106035104,0,1
1791181379,1,1
2100200459,1,1
1742586325,1,1
1734136036,1,1
2080790305,0,1
1770844264,0,1
1774745819,0,1
2080815115,1,1
1758800821,1,1
1785889284,0,1
1867116084,1,1
1747541412,1,1
2097331223,1,1
2010145671,1,1
1899870470,1,1
1759886023,1,1
1977436618,1,1
1771814251,1,1
1775801003,0,1
1740059446,1,1
