clip_id,true_label,predicted_label
1885894163,2,1
1766249871,2,1
2097331434,2,1
1829897431,2,0
1871880492,2,1
1822958190,0,0
1856239482,2,1
1885895603,2,1
1762928778,2,0
1764169368,0,0
2046109971,2,0
1741176900,1,0
1867116838,2,1
1856240240,2,1
1772169025,2,0
1744060784,2,0
1935501976,2,0
2051382608,2,1
1734632631,2,1
1808262012,2,0
1729533758,2,1
2105075111,0,0
1867115899,0,1
1848678220,2,1
1833399567,2,1
1806299303,2,1
1789946115,2,1
2088961450,2,0
2097331846,2,1
2010516550,2,0
1861754058,1,1
1834873308,0,0
2019365904,2,1
1764170369,2,1
1762928284,2,1
1742405812,2,0
1833401140,2,0
2005596323,2,0
1724481776,2,0
1850338928,2,1
1956178649,2,1
2120719461,2,1
1884563156,1,1
1817220720,2,1
1810758331,2,1
1840065581,2,1
