clip_id,true_label,predicted_label
1865228198,1,0
1733519384,0,0
1759886023,1,0
2044106208,1,0
1790030883,1,0
1774745819,0,0
1840065331,0,0
1878455999,2,0
2045813301,0,0
1838652940,0,0
1835513865,1,0
2088961279,0,0
1778781680,2,0
1848677421,0,0
1741177113,1,0
1758799552,0,0
1912513396,2,0
2019658872,1,0
1795644433,2,0
1881961136,1,0
2010515466,2,0
1771814112,2,0
2010144012,0,0
2103984784,1,0
2135530415,1,0
1922678054,1,0
1827936619,2,0
1832490712,1,0
1885895483,0,0
1850121729,2,2
1720901351,1,0
2041803648,2,0
1885895593,1,0
1747541412,0,0
1848628608,1,0
1764170552,1,0
1758801842,0,0
1848677114,1,0
1856754483,1,0
1770383172,0,0
1791182121,0,0
1759887296,1,0
1840066453,1,0
2099810851,0,0
