clip_id,true_label,predicted_label
1838651775,1,1
2090216570,2,1
2099060129,1,1
1861059491,2,1
1833399490,4,1
1811581165,2,2
2088097601,1,1
1772936447,1,1
2091329731,1,1
1885894163,1,1
1770671797,0,1
1778568790,0,2
2098736370,2,2
1789814553,3,1
2098590040,0,2
1911882420,1,1
1835297463,1,1
1766249871,1,1
2010145997,2,1
1832490650,4,1
1918281766,2,1
1770815552,1,1
1731018810,3,2
2090216828,3,2
2088961829,2,2
1733150057,3,1
1827936371,1,1
1767072156,2,1
2091574771,3,1
1853471928,3,1
2097331434,1,2
1770815620,4,1
1829897431,1,1
1869057431,2,1
1744222737,1,1
1859020437,2,1
2088098365,1,1
1777959542,1,1
1758802340,0,1
1789945825,1,1
1885895593,0,2
1871880492,1,1
1866522174,2,1
1794259757,4,2
1789812800,4,1
1795644834,4,1
1822958190,1,1
1731646178,0,2
2019659270,1,1
1725460962,2,1
1856239482,1,2
1869057420,1,1
1729533397,4,1
1832835293,0,1
2087628679,1,1
1895909146,2,1
2095595235,2,1
1783687424,1,1
1725704631,4,1
2080814967,2,1
1742280040,4,1
1797029208,0,2
1791273645,2,1
1885895603,1,1
1871238560,1,1
1790032017,2,2
1789945590,3,1
1949437131,4,1
1857294949,1,1
1759887046,3,2
1865227895,4,1
1815693124,3,1
1791181415,2,1
1760588317,1,1
1848628063,1,1
2044105752,2,1
1762928778,1,1
1764169368,1,1
1733178130,0,2
1815693457,3,2
1789945679,4,1
1770816927,2,2
1873069279,1,1
2010515893,1,1
2099525835,4,1
1731646527,4,1
2045815031,2,1
1830582835,2,1
2005597051,4,1
1729533916,1,1
1734633854,4,2
2046109971,1,1
1742280072,2,2
1741176900,1,1
2019659198,1,1
1832835412,1,1
1956178320,0,2
1867115811,1,1
1789812820,2,1
1734135183,0,1
1842385994,1,1
1742586560,2,1
2103984047,2,2
1744274267,4,1
1766249346,1,1
1973245413,4,1
1835295945,3,1
2092408969,1,1
2120718879,1,1
1818187339,3,2
1861754503,3,1
1795644057,1,1
