frame_number,ID,team,x_coordinate_pitch,y_coordinate_pitch,x_coordinate_pixel,y_coordinate_pixel,x_coordinate_hpe_keypoint_0,y_coordinate_hpe_keypoint_0,x_coordinate_hpe_keypoint_1,y_coordinate_hpe_keypoint_1,x_coordinate_hpe_keypoint_2,y_coordinate_hpe_keypoint_2,x_coordinate_hpe_keypoint_3,y_coordinate_hpe_keypoint_3,x_coordinate_hpe_keypoint_4,y_coordinate_hpe_keypoint_4,x_coordinate_hpe_keypoint_5,y_coordinate_hpe_keypoint_5,x_coordinate_hpe_keypoint_6,y_coordinate_hpe_keypoint_6,x_coordinate_hpe_keypoint_7,y_coordinate_hpe_keypoint_7,x_coordinate_hpe_keypoint_8,y_coordinate_hpe_keypoint_8,x_coordinate_hpe_keypoint_9,y_coordinate_hpe_keypoint_9,x_coordinate_hpe_keypoint_10,y_coordinate_hpe_keypoint_10,x_coordinate_hpe_keypoint_11,y_coordinate_hpe_keypoint_11,x_coordinate_hpe_keypoint_12,y_coordinate_hpe_keypoint_12,x_coordinate_hpe_keypoint_13,y_coordinate_hpe_keypoint_13,x_coordinate_hpe_keypoint_14,y_coordinate_hpe_keypoint_14,x_coordinate_hpe_keypoint_15,y_coordinate_hpe_keypoint_15,x_coordinate_hpe_keypoint_16,y_coordinate_hpe_keypoint_16,distance_to_field_keypoint_2,distance_to_field_keypoint_3,distance_to_field_keypoint_8,distance_to_field_keypoint_9,distance_to_field_keypoint_12,distance_to_field_keypoint_13,distance_to_field_keypoint_16,distance_to_field_keypoint_17,distance_to_field_keypoint_26,distance_to_field_keypoint_27,distance_to_field_keypoint_28,distance_to_field_keypoint_29,distance_to_field_keypoint_42,distance_traveled_1_frames,velocity_1_frames,acceleration_1_frames,distance_traveled_3_frames,velocity_3_frames,acceleration_3_frames,distance_traveled_5_frames,velocity_5_frames,acceleration_5_frames,distance_traveled_10_frames,velocity_10_frames,acceleration_10_frames,distance_traveled_20_frames,velocity_20_frames,acceleration_20_frames,direction_1_frames,direction_3_frames,direction_5_frames,direction_10_frames,distance_to_ball_pitch,distance_to_ball_pixel,distance_ball_to_hpe_keypoint_0,distance_ball_to_hpe_keypoint_1,distance_ball_to_hpe_keypoint_2,distance_ball_to_hpe_keypoint_3,distance_ball_to_hpe_keypoint_4,distance_ball_to_hpe_keypoint_5,distance_ball_to_hpe_keypoint_6,distance_ball_to_hpe_keypoint_7,distance_ball_to_hpe_keypoint_8,distance_ball_to_hpe_keypoint_9,distance_ball_to_hpe_keypoint_10,distance_ball_to_hpe_keypoint_11,distance_ball_to_hpe_keypoint_12,distance_ball_to_hpe_keypoint_13,distance_ball_to_hpe_keypoint_14,distance_ball_to_hpe_keypoint_15,distance_ball_to_hpe_keypoint_16,angle_to_ball,angle_to_ball_pixels,min_angle_to_other_players,max_angle_to_other_players,avg_angle_to_other_players,pixel_coordinates,pitch_coordinates,kind_of_object,in_middle_third,in_left_penalty_area,in_right_penalty_area,in_left_deep_completion_area,in_right_deep_completion_area,trajectory_direction_1_frames,consistency_1_frames,trajectory_direction_3_frames,consistency_3_frames,trajectory_direction_5_frames,consistency_5_frames,trajectory_direction_10_frames,consistency_10_frames
0,0.0,Team_2,77.27567,58.599323,429.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,422.63,434.85,428.01,434.35,420.42,442.38,432.39,441.18,417.45,452.25,439.51,449.64,0.0,0.0,0.0,0.0,426.52,461.18,433.1,460.85,427.9,478.31,430.44,478.1,0.0,0.0,0.0,0.0,80.06499715655451,82.27729874917246,60.938320419618485,75.47307037178308,77.84537460264343,96.98149468900638,16.823354808837994,47.59969246543597,43.23084371937577,38.85557526157086,34.04782381084581,67.11752581362255,33.18632714212416,,,,,,,,,,,,,,,,-32.37225530716572,-24.12209371436941,-42.91990470655214,-103.10443759701047,43.182788148068376,572.6298979270991,1027.0861697053465,1027.0861697053465,1027.0861697053465,547.5094907853197,540.8569149969335,546.7590072417646,536.5882657121753,544.1220816140437,535.1303549603592,546.3020534466258,1027.0861697053465,541.2009238720866,533.9030483149538,547.9977595757122,532.1399533957209,546.0698220923767,520.4004150651689,-57.59457979870288,-20.871597069732143,-119.8738224245774,88.03321538202715,-30.513259402070634,"(413, 428, 445, 503)",[77.27567  58.599323],1,,,,,,,,,,,,,
0,7.0,Team_1,73.336044,18.174704,28.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.02,194.16,28.83,198.58,33.82,199.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.42,213.05,31.58,213.25,24.37,222.74,38.79,220.07,15.05,230.94,34.04,230.42,75.87794518308075,74.33984959453265,67.26483393417094,57.000342053291256,88.66078928594446,75.55458454744954,41.24084213758231,20.62251609812912,38.632673855204224,41.51545274559164,61.861181756182845,40.92145522342214,24.22086966243356,,,,,,,,,,,,,,,,-110.21627644763788,-87.00544949685865,-69.8472219998429,-62.43623452394728,27.37049088070136,962.526882741464,115.48623511051004,116.55528902628144,116.68927799930891,116.00113964957411,1027.0861697053465,110.40528248231604,110.74418810935408,103.12720785515332,104.59667728948182,95.37654428631812,1027.0861697053465,94.20051008354466,94.62700248871884,82.20037773635835,83.7574384756363,70.98167439557903,72.81505682206118,8.332320230775098,2.8116402291427813,38.45190914023161,94.7870088861733,72.67366526896818,"(10, 188, 46, 244)",[73.336044 18.174704],1,,,,,,,,,,,,,
0,8.0,Team_2,93.33755,56.54031,978.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973.8,380.96,982.52,380.39,0.0,0.0,983.41,386.76,0.0,0.0,0.0,0.0,974.32,398.77,980.72,398.59,974.47,414.0,988.68,411.31,965.87,426.9,0.0,0.0,95.22994037981948,96.94240593966944,76.87471793035508,87.9003483229488,94.03840828857864,109.1270103167232,2.3958239346323573,42.690619001717806,31.0414185062074,25.18890903254505,20.22280462634384,58.94441427456948,44.47283557196171,,,,,,,,,,,,,,,,-61.97472547191869,-60.3503835438846,-56.189784056255085,-48.93882791261287,35.12028599909061,74.33034373659252,1027.0861697053465,1027.0861697053465,1027.0861697053465,437.9838701367893,1027.0861697053465,446.6423080049627,436.7431547259785,461.6569268407006,1027.0861697053465,1027.0861697053465,1027.0861697053465,467.30181467655353,460.53705366669465,467.89340174873166,1027.0861697053465,482.488272603594,1027.0861697053465,-78.36976129145556,-87.27368900609373,-172.11718806519625,172.69494010670928,-14.618553704470465,"(963, 365, 993, 438)",[93.33755 56.54031],1,,,,,,,,,,,,,
0,5.0,Team_1,92.52553,49.14881,837.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832.54,327.54,825.88,335.3,834.85,333.23,0.0,0.0,838.95,340.77,0.0,0.0,0.0,0.0,830.07,350.4,836.97,349.02,830.65,362.75,842.59,358.9,828.94,373.63,846.67,370.14,93.23731005035366,94.41593420071968,76.18984701854617,83.82056419960577,94.42637680790058,104.7691699850332,5.09524128749846,35.312259596471456,25.66617386936125,20.9184090103295,25.70456160227753,52.162849130875095,40.46790991957739,,,,,,,,,,,,,,,,142.80974792164196,140.0676455359353,128.50845195065915,130.31750951460705,28.13721002513717,151.00993344810135,1027.0861697053465,1027.0861697053465,1027.0861697053465,189.53589686389228,195.60354291269888,184.9374364481135,197.92485442712845,179.29314682943118,197.20977992990103,173.80369673859073,1027.0861697053465,183.97367882390145,193.1247340451243,180.08189748000763,192.86955695495325,180.61818651509049,196.45558403873372,-73.71079363594147,-31.58589750386672,-173.78423233592125,169.40849896490926,48.59137334362216,"(821, 321, 853, 382)",[92.52553 49.14881],1,,,,,,,,,,,,,
0,4.0,Team_1,76.51333,52.142956,335.5,370.0,0.0,0.0,0.0,0.0,0.0,0.0,331.38,377.37,336.45,377.41,327.57,385.05,339.0,385.07,326.26,395.35,342.29,394.63,0.0,0.0,345.81,400.24,330.07,404.48,337.77,404.33,330.98,419.93,339.17,417.97,330.38,435.28,335.85,427.81,77.87384165036319,79.55640997288823,60.04688027217362,71.18953621348516,78.13920461290903,92.59145362085016,17.104830702899566,41.89149638345731,39.953599165533625,36.4883944822419,37.05135646698948,61.96971036020668,28.14231955317446,,,,,,,,,,,,,,,,-84.99353531456136,-81.71944315478072,-80.27100591863113,-69.16741327175153,38.36049456505053,654.2868254825249,1027.0861697053465,1027.0861697053465,1027.0861697053465,1027.0861697053465,1027.0861697053465,513.8248784362237,501.66968973618486,516.7571586344983,497.5086251513636,1027.0861697053465,1027.0861697053465,1027.0861697053465,503.2297571686317,1027.0861697053465,1027.0861697053465,1027.0861697053465,1027.0861697053465,-51.453570376322745,-13.422309284332808,-136.2019087298698,136.64928612050565,13.68437948247332,"(323, 370, 348, 446)",[76.51333  52.142956],1,,,,,,,,,,,,,
0,3.0,Team_2,74.60295,53.9464,283.5,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.35,397.52,279.74,404.31,290.78,404.68,274.4,411.4,294.46,412.41,0.0,0.0,0.0,0.0,280.33,422.74,286.71,423.05,281.96,439.61,284.74,440.04,0.0,0.0,0.0,0.0,76.36211723200249,78.2457052087168,58.10330776971955,70.59514281233264,75.91511040003,92.06418600473673,18.8981457321302,44.32628708817962,42.54105255694059,38.968239852437,38.08483630123297,64.52259382385157,27.966668561043093,,,,,,,,,,,,,,,,100.00243205336832,-75.88925515096037,-69.10577081449216,-65.8282703903157,40.96309711610163,708.1745900553055,1027.0861697053465,1027.0861697053465,1027.0861697053465,1027.0861697053465,1027.0861697053465,402.9932402658884,398.1921109213491,419.0175486778566,1027.0861697053465,431.8032474403128,1027.0861697053465,429.092714107336,425.8221330555752,447.5661872840709,443.1506698629711,463.53138512942144,458.7968235504688,-50.93562005608776,-14.084278147746716,-117.13665143545148,80.7529508966564,-4.9291540019717175,"(268, 388, 299, 467)",[74.60295 53.9464 ],1,,,,,,,,,,,,,
0,9.0,Team_2,87.494026,34.318974,516.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,651.69,586.08,660.21,585.2,648.65,596.61,665.68,595.97,643.89,612.0,670.23,609.72,640.17,618.99,0.0,0.0,652.96,623.14,663.6,621.73,0.0,0.0,666.05,638.88,0.0,0.0,675.1,655.41,87.55741176605017,87.5840017861256,73.7117450901373,73.88592986258558,93.75295281331246,93.98402291254892,20.7205533682078,21.331915040855677,22.853262532382665,22.751144909028486,40.50839913792132,41.04035577731354,32.49559172829189,,,,,,,,,,,,,,,,-85.12526917308338,-56.0406366304441,-67.81680483508403,-92.54868076307926,17.757260217874958,471.2504641907528,1027.0861697053465,1027.0861697053465,1027.0861697053465,1027.0861697053465,183.0369615678757,188.80475020507296,178.17291937890002,188.9104467730676,169.8031907827412,1027.0861697053465,161.73653421537136,182.1570270398592,174.88618956338428,176.3593700374323,168.38875318737882,172.2926823750794,163.9201622741998,-43.29839280921922,-0.9772319580984292,-131.24968007215207,142.99182710453616,77.03594501715814,"(502, 245, 530, 299)",[87.494026 34.318974],1,,,,,,,,,,,,,
0,10.0,Goalkeeper_Team_2,102.74804,41.52978,1035.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.92,259.9,0.0,0.0,1031.93,262.35,1024.75,266.08,1038.78,263.33,1022.01,272.03,0.0,0.0,1018.77,272.62,1035.72,278.36,1031.31,279.08,1038.73,291.25,1035.21,290.41,1050.32,301.13,0.0,0.0,102.82126371560868,103.35447295430136,87.1664740178156,90.5808730849271,106.1029313668689,110.823654095566,15.645962702092811,29.18384013464352,13.325856281237956,8.224575249916512,27.44564465647124,42.15819817141691,48.33810979808246,,,,,,,,,,,,,,,,-68.27678392473854,-63.77423443140693,-19.10306580656894,58.41952321646784,19.52825057781904,63.41135544995076,204.99785998883013,203.36890470275932,1027.0861697053465,200.3548165131051,1027.0861697053465,202.6719864707503,196.0898431841894,210.3813283064825,1027.0861697053465,222.8062983849424,1027.0861697053465,208.65491127696944,208.4621598755995,218.47594947728223,223.0049526355861,217.4451280208412,228.8306694916571,-96.85377631769497,-159.19320898728878,-154.69916749290988,170.5964464464929,91.76953262533436,"(1015, 252, 1055, 310)",[102.74804  41.52978],1,,,,,,,,,,,,,
0,2.0,Team_1,85.245,58.788555,727.5,409.0,0.0,0.0,0.0,0.0,0.0,0.0,721.73,417.86,727.84,417.31,718.87,425.9,732.06,425.03,716.47,436.19,736.84,434.39,0.0,0.0,0.0,0.0,723.7,444.14,732.17,444.09,725.4,455.68,733.84,458.02,0.0,0.0,732.95,473.88,87.82681257391806,89.86357388850602,68.90131781369078,82.13007452310923,85.74124567311013,103.55097638039192,9.468958416298506,45.690466381925255,37.703598074546335,32.55224113092806,26.413265707378542,63.78796207031887,39.10540445169354,,,,,,,,,,,,,,,,-71.54392978213328,-64.20194770742229,-78.10626625365481,-144.46411536126743,39.6641621498751,283.2494483666297,204.99785998883013,203.36890470275932,1027.0861697053465,200.3548165131051,1027.0861697053465,202.6719864707503,196.0898431841894,210.3813283064825,1027.0861697053465,222.8062983849424,1027.0861697053465,208.65491127696944,208.4621598755995,218.47594947728223,223.0049526355861,217.4451280208412,228.8306694916571,-67.50969903943275,-36.42228347498347,-178.6397728357483,116.86937247285054,-53.24880520264224,"(713, 409, 742, 481)",[85.245    58.788555],1,,,,,,,,,,,,,
0,11.0,Team_2,77.78762,73.507355,657.0,574.0,0.0,0.0,0.0,0.0,0.0,0.0,651.69,586.08,660.21,585.2,648.65,596.61,665.68,595.97,643.89,612.0,670.23,609.72,640.17,618.99,0.0,0.0,652.96,623.14,663.6,621.73,0.0,0.0,666.05,638.88,0.0,0.0,675.1,655.41,85.65432737843233,88.95769319065131,64.27191933019057,85.52878115660582,77.98233688571113,107.02450705467962,24.93162751494074,61.69180530906675,53.85345539542157,48.20152776496062,32.67978498064442,80.25564522525364,45.60818707577797,,,,,,,,,,,,,,,,-60.36340871463181,-59.91584690888838,-68.88574310056937,-131.6477708177371,56.13030083705766,433.2124190278944,1027.0861697053465,1027.0861697053465,1027.0861697053465,803.5830406373693,1027.0861697053465,809.8057860993586,793.7517024863631,818.5311212776213,1027.0861697053465,1027.0861697053465,1027.0861697053465,1027.0861697053465,1027.0861697053465,1027.0861697053465,1027.0861697053465,1027.0861697053465,1027.0861697053465,-66.22356075834101,-50.0075642582724,-104.3813346321552,13.815218728509691,-65.67324544442832,"(633, 574, 681, 682)",[77.78762  73.507355],1,,,,,,,,,,,,,
