Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,event_id,match_id,match_period,minute,second,match_timestamp,video_timestamp,primary_type,secondary_types,location_x,location_y,team_id,team_name,team_formation,opponent_team_id,opponent_team_name,opponent_team_formation,player_id,player_name,player_position,pass_accurate,pass_angle,pass_length,recipient_id,recipient_name,recipient_position,end_location_x,end_location_y,shot_body_part,is_goal,on_target,goal_zone,xg,post_shot_xg,goalkeeper_action_id,goalkeeper,opponent_id_ground_duel,opponent_name_ground_duel,opponent_position_ground_duel,duel_type_ground_duel,kept_possession_ground_duel,progressed_with_ball_ground_duel,stopped_progress_ground_duel,recovered_possession_ground_duel,take_on_ground_duel,side_ground_duel,related_duel_id_ground_duel,opponent_id_aerial_duel,opponent_name_aerial_duel,opponent_position_aerial_duel,opponent_height_aerial_duel,first_touch_aerial_duel,height_aerial_duel,related_duel_id_aerial_duel,yellow_card,red_card,infraction_type,opponent_id_infraction,opponent_name_infraction,opponent_position_infraction,carry_progression,end_location_x_carry,end_location_y_carry,possession_id,possession_duration,possession_types,events_number,event_index,start_location_x,start_location_y,end_location_x_possession,end_location_y_possession,team_id_possession,team_name_possession,team_formation_possession,with_shot,with_shot_on_goal,with_goal,flank,xg_possession,back_pass,short_or_medium_pass,lateral_pass,forward_pass,progressive_pass,loose_ball_duel,carry,long_pass,pass_to_final_third,opportunity,head_pass,recovery,under_pressure,ball_out,loss,hand_pass,foul_suffered,ground_duel,linkup_play,offensive_duel,defensive_duel,foul,dribble,aerial_duel,counterpressing_recovery,pass,deep_completion,touch_in_box,interception,sliding_tackle,progressive_run,smart_pass,cross,deep_completed_cross,pass_to_penalty_area,second_assist,assist,key_pass,shot_assist,goal,conceded_goal,dribbled_past_attempt,shot_after_throw_in,shot_block,free_kick_cross,save,save_with_reflex,shot_after_corner,cross_blocked,through_pass,free_kick_shot,shot,head_shot,whistle,shot_after_free_kick,acceleration,penalty_foul,penalty_goal,penalty_conceded_goal,third_assist,penalty_save,flank_right,flank_left,flank_center,accurate,not_accurate,normal_pass,on_target_true,on_target_false,goal_true,goal_false,right_foot_true,left_foot_true,head_or_other_true,head_or_other_foot_true,video_timestamp_previous,video_timestamp_next,primary_type_next,primary_type_previous,video_timestamp_2_events_previous,video_timestamp_2_events_next,timestamp_previous_difference,timestamp_next_difference,begin_clip_timestamp,end_clip_timestamp,length_clip
26478,26540,9515,1729533569,5476245,2H,62,0,01:02:00.776,3801.776132,touch,"progressive_run, carry",72,4,3162,Lazio,4-3-3,3168,Lecce,4-2-3-1,246633,M. Zaccagni,LWF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,12.89,79.0,20.0,1729533562.0,55.699186,"['attack', 'throw_in']",25.0,7.0,65.0,100.0,73.0,46.0,3162.0,Lazio,4-3-3,False,False,False,center,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,3799.629921,3804.776493,pass,pass,3796.015042,3805.619065,2.1462109999997665,3.0003609999998844,3799.09336825,3805.52658325,6.433214999999564
9816,9832,255752,1873069127,5476391,1H,14,45,00:14:45.175,886.175884,interception,"forward_pass, pass, recovery, short_or_medium_pass",25,75,3166,Bologna,4-2-3-1,3158,Roma,3-4-1-2,523944,S. Beukema,RCB,True,32.0,9.0,282799.0,S. Posch,RB,32.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1873069127.0,20.4203715,['transition_low'],6.0,0.0,25.0,75.0,47.0,86.0,3166.0,Bologna,4-2-3-1,,,,,,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,884.818445,887.883725,pass,pass,881.671702,889.282374,1.3574389999999994,1.7078410000000304,884.47908525,888.31068525,3.831599999999981
20042,20093,10416,1725460613,5476246,1H,20,5,00:20:05.093,1206.09342,shot,,71,69,3158,Roma,5-3-2,3192,Salernitana,3-4-2-1,346913,G. Mancini,RCB3,,,,,,,,,right_foot,0.0,0.0,ot,0.002896,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1725460608.0,9.99958,['attack'],6.0,5.0,84.0,9.0,71.0,69.0,3158.0,Roma,5-3-2,True,False,False,left,0.0029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,1202.765698,1220.213712,game_interruption,pass,1201.282812,1240.895248,3.3277219999999943,14.120292000000063,1201.9337675,1211.09342,9.159652499999993
8600,8612,223053,1863571117,5476371,2H,77,50,01:17:50.562,4768.562913,duel,"defensive_duel, ground_duel, loss",72,4,3178,Empoli,4-3-3,3193,Genoa,3-5-2,601307,M. Cancellieri,LWF,,,,,,,,,,,,,,,,,544937.0,M. Frendrup,LCMF3,defensive_duel,,,False,False,False,,1863571028.0,,,,,,,,0,0,,,,,,,,1863571112.0,1.25085,['throw_in'],4.0,3.0,65.0,0.0,72.0,4.0,3178.0,Empoli,4-3-3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,4767.654206,4771.069662,infraction,touch,4767.312063,4792.186004,0.9087069999995948,2.506749000000127,4767.4270292500005,4771.69634925,4.269319999999425
2083,2084,312352,1912513988,5476425,2H,56,36,00:56:36.137,3834.137067,pass,"cross, deep_completed_cross, lateral_pass, pass_to_penalty_area, progressive_pass, shot_assist",92,17,3172,Atalanta,5-4-1,3158,Roma,3-5-2,14869,S. Kolašinac,LCB3,True,81.0,32.0,347024.0,G. Scamacca,CF,97.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1912514847.0,17.456219,['attack'],10.0,8.0,32.0,81.0,97.0,64.0,3172.0,Atalanta,5-4-1,True,False,False,left,0.1375,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,3831.248994,3836.96892,shot,acceleration,3829.935022,3839.067717,2.8880730000000767,2.8318529999996827,3830.52697575,3837.67688325,7.149907499999699
6884,6893,151390,1809600874,5476329,2H,92,28,01:32:28.235,5749.235939,duel,aerial_duel,69,59,3187,Napoli,4-3-3,3194,Hellas Verona,3-4-1-2,269152,G. Simeone,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,True,180.0,1809601318.0,0,0,,,,,,,,1809600872.0,26.6785315,['attack'],9.0,4.0,25.0,21.0,61.0,0.0,3187.0,Napoli,4-3-3,False,False,False,center,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,5748.745142,5752.287812,duel,duel,5745.518301,5752.479998,0.4907970000003843,3.051872999999432,5748.62244275,5752.479998,3.8575552499996775
21595,21650,90829,1781704297,5476293,2H,88,2,01:28:02.528,5689.52834,touch,"progressive_run, carry",49,33,3158,Roma,4-3-3,3193,Genoa,3-5-2,89186,P. Dybala,RCMF3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,16.26,65.0,33.0,1781704292.0,17.1460905,"['attack', 'throw_in']",9.0,3.0,40.0,0.0,93.0,55.0,3158.0,Roma,4-3-3,False,False,False,right,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,5688.736347,5694.358483,pass,pass,5687.221972,5696.765834,0.7919929999998203,4.830143000000135,5688.53834875,5695.56601875,7.027669999999489
14685,14721,62559,1759887034,5476277,1H,23,50,00:23:50.794,1431.794546,pass,"lateral_pass, pass_to_final_third, progressive_pass, short_or_medium_pass",60,94,3178,Empoli,4-3-3,3158,Roma,3-5-2,601307,M. Cancellieri,RWF,True,-75.0,35.0,134435.0,A. Grassi,DMF,69.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1759887024.0,25.510961,['transition_medium'],11.0,9.0,36.0,95.0,69.0,44.0,3178.0,Empoli,4-3-3,,,,,,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,1.0,,,,,,,,,1429.625862,1434.119618,duel,pass,1425.419539,1435.807924,2.1686839999999847,2.325071999999864,1429.083691,1434.700886,5.6171949999998105
7240,7249,2520,1720901472,5476241,2H,45,7,00:45:07.204,2900.204441,duel,"aerial_duel, recovery",32,86,3194,Hellas Verona,3-4-1-2,3178,Empoli,4-2-3-1,639489,F. Terracciano,RWB,,,,,,,,,,,,,,,,,,,,,,,,,,,,134435.0,A. Grassi,RDMF,183.0,True,181.0,1720901550.0,0,0,,,,,,,,1720901472.0,14.8530725,['transition_low'],10.0,0.0,32.0,86.0,72.0,11.0,3194.0,Hellas Verona,3-4-1-2,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,2897.786743,2902.71276,pass,pass,2894.90635,2904.216288,2.4176979999997457,2.5083190000000286,2897.1823185000003,2903.33983975,6.157521249999718
11370,11395,384031,2095595165,5476467,2H,88,46,01:28:46.668,5510.668503,interception,"back_pass, pass, recovery, short_or_medium_pass",20,36,3173,Cagliari,3-4-1-2,3158,Roma,4-3-3,240037,M. Wieteska,CB,True,157.0,20.0,239288.0,S. Scuffet,GK,2.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,2095595165.0,31.3466485,['attack'],18.0,0.0,20.0,36.0,81.0,43.0,3173.0,Cagliari,3-4-1-2,True,False,False,center,0.0915,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,5509.631692,5514.405071,pass,pass,5507.899985,5518.113217,1.0368109999999433,3.736568000000261,5509.37248925,5515.339213,5.96672375000071
