Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,event_id,match_id,match_period,minute,second,match_timestamp,video_timestamp,primary_type,secondary_types,location_x,location_y,team_id,team_name,team_formation,opponent_team_id,opponent_team_name,opponent_team_formation,player_id,player_name,player_position,pass_accurate,pass_angle,pass_length,recipient_id,recipient_name,recipient_position,end_location_x,end_location_y,shot_body_part,is_goal,on_target,goal_zone,xg,post_shot_xg,goalkeeper_action_id,goalkeeper,opponent_id_ground_duel,opponent_name_ground_duel,opponent_position_ground_duel,duel_type_ground_duel,kept_possession_ground_duel,progressed_with_ball_ground_duel,stopped_progress_ground_duel,recovered_possession_ground_duel,take_on_ground_duel,side_ground_duel,related_duel_id_ground_duel,opponent_id_aerial_duel,opponent_name_aerial_duel,opponent_position_aerial_duel,opponent_height_aerial_duel,first_touch_aerial_duel,height_aerial_duel,related_duel_id_aerial_duel,yellow_card,red_card,infraction_type,opponent_id_infraction,opponent_name_infraction,opponent_position_infraction,carry_progression,end_location_x_carry,end_location_y_carry,possession_id,possession_duration,possession_types,events_number,event_index,start_location_x,start_location_y,end_location_x_possession,end_location_y_possession,team_id_possession,team_name_possession,team_formation_possession,with_shot,with_shot_on_goal,with_goal,flank,xg_possession,back_pass,short_or_medium_pass,lateral_pass,forward_pass,progressive_pass,loose_ball_duel,carry,long_pass,pass_to_final_third,opportunity,head_pass,recovery,under_pressure,ball_out,loss,hand_pass,foul_suffered,ground_duel,linkup_play,offensive_duel,defensive_duel,foul,dribble,aerial_duel,counterpressing_recovery,pass,deep_completion,touch_in_box,interception,sliding_tackle,progressive_run,smart_pass,cross,deep_completed_cross,pass_to_penalty_area,second_assist,assist,key_pass,shot_assist,goal,conceded_goal,dribbled_past_attempt,shot_after_throw_in,shot_block,free_kick_cross,save,save_with_reflex,shot_after_corner,cross_blocked,through_pass,free_kick_shot,shot,head_shot,whistle,shot_after_free_kick,acceleration,penalty_foul,penalty_goal,penalty_conceded_goal,third_assist,penalty_save,flank_right,flank_left,flank_center,accurate,not_accurate,normal_pass,on_target_true,on_target_false,goal_true,goal_false,right_foot_true,left_foot_true,head_or_other_true,head_or_other_foot_true,video_timestamp_previous,video_timestamp_next,primary_type_next,primary_type_previous,video_timestamp_2_events_previous,video_timestamp_2_events_next,timestamp_previous_difference,timestamp_next_difference,begin_clip_timestamp,end_clip_timestamp,length_clip
26011,26073,299310,1917024017,5476417,2H,63,3,01:03:03.721,3826.721535,touch,"progressive_run, carry",56,79,3236,Monza,3-4-3,3187,Napoli,4-3-3,422555,A. Colpani,RWF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,29.11,89.0,76.0,1917024002.0,32.211084,"['attack', 'throw_in']",12.0,6.0,42.0,0.0,95.0,65.0,3236.0,Monza,3-4-3,False,False,False,center,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,3825.105447,3832.205109,pass,pass,3822.76293,3833.15824,1.616088000000218,5.483573999999862,3824.701425,3833.15824,8.45681500000046
22351,22408,24925,1731646527,5476254,2H,54,17,00:54:17.334,3633.334644,touch,"progressive_run, carry",36,27,3162,Lazio,4-3-3,3193,Genoa,4-3-2-1,3484,Luis Alberto,LCMF3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,16.34,53.0,23.0,1731646523.0,44.779141,"['attack', 'throw_in']",20.0,3.0,33.0,100.0,90.0,77.0,3162.0,Lazio,4-3-3,False,False,False,right,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,3631.881621,3636.325612,pass,pass,3626.612965,3637.430727,1.4530230000000302,2.9909680000000662,3631.51836525,3637.073354,5.5549887500001205
21019,21074,195696,1833400723,5476355,2H,87,10,01:27:10.607,5367.60764,touch,"progressive_run, carry",36,22,3157,Milan,4-4-2,3168,Lecce,4-1-4-1,291591,F. Tomori,LCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,25.7,60.0,30.0,1833400716.0,29.578528,[],10.0,7.0,14.0,50.0,97.0,100.0,3157.0,Milan,4-4-2,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,5365.468072,5373.881019,pass,pass,5362.385487,5382.311003,2.1395680000005086,6.2733790000002045,5364.93318,5375.44936375,10.516183749999982
21421,21476,112766,1791370877,5476306,2H,65,29,01:05:29.204,4043.204389,touch,carry,27,44,3161,Internazionale,3-5-2,3192,Salernitana,4-2-3-1,130,S. de Vrij,CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,17.94,44.0,48.0,1791370868.0,24.196892,"['set_piece_attack', 'free_kick']",13.0,8.0,57.0,28.0,48.0,60.0,3161.0,Internazionale,3-5-2,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,4041.592349,4046.640363,duel,pass,4037.575554,4046.753237,1.612039999999979,3.4359739999999874,4041.189339,4046.753237,5.563897999999881
9897,9913,385170,2080404516,5476468,2H,68,54,01:08:54.544,4384.544723,interception,recovery,2,41,3192,Salernitana,3-4-2-1,3185,Torino,3-4-3,25816,G. Ochoa,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,2080404516.0,13.667063,[],3.0,0.0,2.0,41.0,45.0,0.0,3192.0,Salernitana,3-4-2-1,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,4381.551443,4391.574552,pass,pass,4379.43846,4400.958757,2.993279999999686,7.029829000000063,4380.803123000001,4393.33200925,12.528886249999232
9242,9257,155988,1818187298,5476332,2H,59,1,00:59:01.485,3733.485047,interception,,82,93,3193,Genoa,4-4-2,3192,Salernitana,5-3-2,622722,B. Kutlu,RW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1818187283.0,21.750471,"['set_piece_attack', 'attack', 'free_kick']",15.0,13.0,13.0,53.0,82.0,100.0,3193.0,Genoa,4-4-2,False,False,False,right,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,3732.602648,3735.436163,game_interruption,pass,3732.027191,3747.70897,0.8823990000000776,1.951115999999729,3732.38204825,3735.923942,3.541893749999872
25407,25469,204302,1848626897,5476360,2H,63,43,01:03:43.712,4071.712244,touch,"progressive_run, carry",34,7,3187,Napoli,4-3-3,3172,Atalanta,3-4-1-2,20518,Juan Jesus,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,16.6,52.0,6.0,1848626883.0,23.201348,[],11.0,8.0,8.0,49.0,55.0,0.0,3187.0,Napoli,4-3-3,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,4068.784373,4075.69556,fairplay,pass,4067.120117,4077.007936,2.927870999999868,3.9833160000002863,4068.05240525,4076.691389,8.63898375000008
18959,19009,151924,1826540824,5476330,1H,29,49,00:29:49.629,1790.629921,shot,"head_shot, opportunity, touch_in_box",88,63,3173,Cagliari,4-3-2-1,3254,Frosinone,4-2-3-1,354547,J. Jankto,AMF,,,,,,,,,head_or_other,0.0,0.0,or,0.76,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1826540823.0,0.968938,"['set_piece_attack', 'attack', 'penalty']",2.0,1.0,90.0,50.0,88.0,63.0,3173.0,Cagliari,4-3-2-1,True,False,False,center,1.52,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1788.692045,1792.597217,game_interruption,penalty,1612.033732,1818.870664,1.93787599999996,1.967296000000033,1788.207576,1793.089041,4.881464999999935
9558,9573,22068,1742406223,5476253,1H,8,0,00:08:00.708,481.708099,interception,recovery,61,40,3159,Juventus,3-5-2,3166,Bologna,4-2-3-1,418950,D. Vlahović,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1742406223.0,9.784475,"['counterattack', 'attack', 'transition_medium']",6.0,0.0,61.0,40.0,86.0,46.0,3159.0,Juventus,3-5-2,False,False,False,left,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,481.668795,483.525131,acceleration,pass,478.87546,487.375295,0.0393040000000155,1.8170319999999835,481.658969,483.979389,2.320420000000013
12973,13000,322207,1960315979,5476431,2H,60,19,01:00:19.980,3774.980826,pass,"lateral_pass, short_or_medium_pass",14,76,3166,Bologna,4-1-4-1,3173,Cagliari,5-3-2,368194,J. Lucumí,RCB,True,-81.0,24.0,542200.0,R. Calafiori,LCB,18.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1960315978.0,33.430162,['throw_in'],13.0,2.0,31.0,100.0,79.0,66.0,3166.0,Bologna,4-1-4-1,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,1.0,,,,,,,,,3774.180826,3778.642402,pass,touch,3770.405092,3782.898494,0.8000000000001819,3.661575999999968,3773.980826,3779.557796,5.576970000000074
