Frame,Bbox,Score,Category_ID,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17
1,"[638.77, 290.08, 21.63, 70.68]",0.388,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(641.62, 296.15, 0.33)","(649.41, 292.91, 0.34)","(647.86, 307.12, 0.21)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(646.79, 320.14, 0.63)","(649.92, 318.09, 0.48)","(647.53, 338.52, 0.81)","(645.64, 336.81, 0.49)","(656.78, 357.13, 0.75)","(647.5, 354.36, 0.52)"
1,"[704.19, 260.38, 33.67, 70.83]",0.327,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(707.64, 263.83, 0.47)","(725.37, 264.64, 0.6)","(0.0, 0.0, 0.0)","(732.76, 273.51, 0.7)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(713.83, 287.3, 0.44)","(724.09, 286.85, 0.52)","(711.05, 306.35, 0.36)","(730.2, 306.75, 0.43)","(0.0, 0.0, 0.0)","(733.96, 327.31, 0.38)"
1,"[631.57, 250.97, 28.82, 34.41]",0.303,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(634.92, 257.06, 0.62)","(649.09, 255.02, 0.81)","(0.0, 0.0, 0.0)","(656.78, 266.02, 0.69)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(651.97, 280.9, 0.58)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
2,"[335.43, 346.86, 38.13, 95.17]",0.796,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(351.84, 348.78, 0.82)","(361.05, 349.33, 0.82)","(345.85, 359.5, 1.0)","(365.63, 361.82, 0.98)","(342.65, 374.69, 0.88)","(369.35, 378.35, 0.93)","(344.01, 389.75, 0.75)","(363.92, 389.45, 0.66)","(346.93, 390.05, 0.97)","(359.39, 390.86, 0.97)","(343.77, 409.61, 0.94)","(357.66, 413.9, 0.94)","(339.87, 429.29, 0.83)","(357.74, 437.26, 0.91)"
2,"[92.09, 302.37, 45.47, 79.17]",0.792,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(104.65, 305.01, 0.69)","(112.58, 303.85, 0.76)","(101.13, 313.48, 0.97)","(119.39, 312.11, 1.0)","(95.98, 326.22, 0.94)","(126.36, 324.22, 0.92)","(95.15, 336.97, 0.82)","(127.8, 334.88, 0.85)","(107.4, 339.01, 0.94)","(119.2, 338.47, 0.97)","(107.17, 354.98, 0.88)","(124.99, 359.02, 0.97)","(111.9, 368.58, 0.76)","(132.67, 376.66, 0.86)"
2,"[144.63, 259.79, 36.7, 82.91]",0.788,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(156.48, 262.13, 0.63)","(164.08, 261.39, 0.87)","(152.02, 272.63, 1.0)","(167.55, 271.14, 0.98)","(148.2, 288.18, 0.9)","(171.25, 284.88, 0.93)","(151.85, 298.77, 0.71)","(178.16, 294.12, 0.83)","(157.35, 296.67, 0.94)","(167.34, 295.65, 0.97)","(162.04, 316.85, 0.93)","(172.5, 316.3, 0.9)","(164.87, 338.24, 0.83)","(172.73, 337.7, 0.83)"
2,"[173.82, 360.04, 47.85, 90.16]",0.779,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(188.88, 363.93, 0.72)","(197.8, 361.83, 0.79)","(185.93, 374.7, 1.0)","(206.12, 371.61, 0.96)","(180.62, 389.08, 0.94)","(213.41, 384.18, 0.96)","(177.92, 401.7, 0.93)","(218.09, 396.26, 0.92)","(197.08, 401.15, 0.96)","(207.84, 399.63, 0.96)","(199.9, 424.57, 0.81)","(207.92, 422.44, 0.86)","(206.9, 443.68, 0.59)","(209.31, 445.73, 0.67)"
2,"[774.29, 253.19, 26.19, 83.33]",0.663,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(779.5, 254.75, 0.73)","(0.0, 0.0, 0.0)","(777.83, 264.22, 0.96)","(792.83, 263.43, 1.0)","(778.2, 277.05, 0.67)","(797.19, 276.04, 0.79)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(783.83, 288.7, 0.92)","(793.9, 287.82, 0.93)","(780.8, 310.43, 0.87)","(790.97, 310.49, 0.87)","(784.59, 331.93, 0.85)","(795.17, 330.96, 0.88)"
2,"[444.07, 265.65, 30.97, 80.15]",0.545,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(455.96, 266.97, 0.5)","(447.39, 276.71, 0.79)","(462.43, 274.3, 0.73)","(448.49, 290.08, 0.69)","(467.52, 286.87, 0.58)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(454.56, 300.22, 0.79)","(465.33, 298.95, 0.75)","(456.88, 322.43, 0.9)","(466.47, 320.9, 0.66)","(467.5, 341.14, 0.64)","(470.75, 341.5, 0.53)"
2,"[501.49, 245.27, 38.4, 78.59]",0.531,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(520.33, 246.75, 0.51)","(508.21, 256.53, 0.65)","(524.78, 255.08, 0.8)","(504.46, 269.48, 0.49)","(529.13, 265.73, 0.69)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(514.02, 280.69, 0.76)","(524.39, 279.65, 0.82)","(517.53, 301.73, 0.73)","(529.1, 297.06, 0.75)","(522.2, 319.68, 0.67)","(536.14, 304.91, 0.59)"
