Frame,Bbox,Score,Category_ID,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17
1,"[337.39, 459.01, 44.36, 90.76]",0.808,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(353.06, 461.04, 0.76)","(362.6, 461.29, 0.85)","(347.13, 469.65, 0.95)","(366.97, 470.66, 1.0)","(343.38, 484.1, 0.94)","(372.39, 484.29, 0.93)","(340.99, 498.0, 0.87)","(377.87, 495.65, 0.89)","(348.98, 499.14, 0.92)","(361.17, 499.55, 0.95)","(350.76, 520.4, 0.94)","(361.89, 521.37, 0.94)","(351.61, 542.15, 0.89)","(361.75, 544.84, 0.95)"
1,"[405.39, 132.97, 32.27, 51.98]",0.748,1,"(434.44, 135.3, 0.62)","(435.35, 134.08, 0.58)","(433.07, 133.8, 0.66)","(0.0, 0.0, 0.0)","(430.0, 134.26, 0.77)","(434.53, 141.63, 0.84)","(426.62, 140.72, 0.84)","(433.41, 150.04, 0.64)","(424.13, 150.02, 0.65)","(435.7, 157.72, 0.52)","(0.0, 0.0, 0.0)","(429.16, 156.37, 0.93)","(421.71, 155.57, 0.89)","(432.96, 167.93, 1.0)","(416.98, 167.63, 0.89)","(430.07, 181.32, 0.88)","(408.91, 179.61, 0.84)"
1,"[1198.42, 299.3, 47.31, 68.75]",0.746,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(1222.06, 301.37, 0.76)","(1229.83, 300.8, 0.66)","(1218.98, 311.09, 0.94)","(1235.99, 309.06, 0.93)","(1216.23, 322.57, 0.88)","(1242.15, 320.39, 0.92)","(1214.51, 327.26, 0.7)","(0.0, 0.0, 0.0)","(1223.44, 332.61, 0.93)","(1235.2, 332.14, 0.94)","(1212.09, 347.16, 0.88)","(1238.75, 347.37, 1.0)","(1203.14, 360.24, 0.87)","(1240.9, 363.22, 0.95)"
1,"[1251.44, 428.48, 27.28, 82.63]",0.735,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(1258.73, 430.68, 0.73)","(1267.3, 430.03, 0.6)","(1258.89, 440.17, 1.0)","(1272.09, 439.37, 0.94)","(1258.23, 453.37, 0.93)","(1275.33, 451.32, 0.68)","(1254.33, 465.99, 0.81)","(0.0, 0.0, 0.0)","(1261.43, 465.77, 0.94)","(1270.29, 465.42, 0.9)","(1258.02, 485.89, 0.92)","(1269.0, 485.2, 0.89)","(1255.71, 507.04, 0.92)","(1269.01, 505.75, 0.89)"
1,"[605.91, 360.65, 36.41, 80.03]",0.661,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(612.14, 362.11, 0.81)","(0.0, 0.0, 0.0)","(611.89, 373.01, 0.9)","(625.66, 370.15, 0.87)","(609.11, 386.75, 0.77)","(634.2, 381.16, 0.84)","(0.0, 0.0, 0.0)","(631.37, 389.32, 0.66)","(619.19, 395.75, 0.93)","(627.87, 394.61, 0.85)","(622.31, 418.19, 0.86)","(623.76, 416.31, 0.8)","(638.12, 434.75, 0.78)","(624.64, 436.8, 0.75)"
1,"[839.54, 246.45, 35.66, 63.61]",0.663,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(862.84, 247.7, 0.65)","(852.78, 253.47, 0.86)","(864.2, 254.88, 0.87)","(844.76, 257.73, 0.75)","(864.79, 266.0, 0.67)","(0.0, 0.0, 0.0)","(868.04, 274.48, 0.56)","(853.92, 273.93, 0.92)","(862.07, 273.95, 0.9)","(850.1, 290.31, 0.95)","(867.85, 286.87, 0.84)","(843.81, 305.79, 0.91)","(871.51, 300.8, 0.8)"
1,"[1024.07, 228.0, 44.66, 53.38]",0.658,1,"(1025.13, 231.42, 0.39)","(1025.58, 229.75, 0.51)","(0.0, 0.0, 0.0)","(1028.09, 229.37, 0.76)","(0.0, 0.0, 0.0)","(1030.94, 234.74, 0.92)","(1037.38, 232.6, 0.78)","(1035.45, 246.01, 0.76)","(0.0, 0.0, 0.0)","(1031.53, 255.56, 0.62)","(0.0, 0.0, 0.0)","(1040.8, 253.38, 0.95)","(1046.86, 253.19, 0.92)","(1028.23, 263.6, 0.76)","(1052.25, 268.7, 0.77)","(1037.42, 277.71, 0.65)","(1064.83, 277.06, 0.73)"
1,"[143.6, 357.31, 58.24, 74.44]",0.655,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(168.76, 358.99, 0.62)","(0.0, 0.0, 0.0)","(163.86, 368.0, 0.95)","(182.03, 368.77, 0.91)","(147.74, 378.58, 0.73)","(186.32, 383.79, 0.88)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(165.62, 392.36, 1.0)","(178.15, 392.15, 0.94)","(157.8, 409.75, 0.87)","(185.79, 411.05, 0.9)","(153.55, 427.13, 0.67)","(196.83, 425.4, 0.82)"
1,"[86.07, 325.88, 23.86, 78.77]",0.623,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(100.53, 327.2, 0.62)","(102.49, 336.61, 0.86)","(96.01, 336.39, 1.0)","(0.0, 0.0, 0.0)","(89.0, 347.89, 0.85)","(0.0, 0.0, 0.0)","(99.68, 355.22, 0.73)","(99.02, 359.74, 0.84)","(93.82, 359.87, 0.9)","(106.31, 379.06, 0.81)","(101.89, 379.73, 0.83)","(100.21, 398.87, 0.62)","(97.83, 400.98, 0.76)"
1,"[223.14, 283.63, 34.48, 69.58]",0.581,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(247.6, 284.62, 0.32)","(0.0, 0.0, 0.0)","(244.11, 285.42, 0.62)","(233.3, 292.2, 0.65)","(242.82, 293.67, 0.73)","(0.0, 0.0, 0.0)","(242.24, 307.34, 0.73)","(0.0, 0.0, 0.0)","(246.94, 320.61, 0.59)","(227.23, 312.35, 0.7)","(234.77, 312.53, 0.79)","(234.7, 328.21, 0.77)","(248.12, 329.15, 0.81)","(233.84, 345.17, 0.75)","(253.37, 348.97, 0.91)"
1,"[111.61, 402.22, 40.6, 79.72]",0.589,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(134.35, 403.73, 0.62)","(125.0, 411.92, 0.79)","(133.08, 412.63, 0.94)","(0.0, 0.0, 0.0)","(133.75, 428.1, 0.83)","(0.0, 0.0, 0.0)","(140.2, 441.17, 0.7)","(124.1, 437.22, 0.8)","(131.81, 437.39, 0.85)","(132.98, 456.39, 0.72)","(145.96, 453.11, 0.66)","(116.19, 468.98, 0.69)","(146.32, 476.04, 0.68)"
1,"[282.22, 256.4, 20.45, 68.2]",0.572,1,"(301.64, 259.07, 0.42)","(0.0, 0.0, 0.0)","(300.66, 257.43, 0.52)","(0.0, 0.0, 0.0)","(297.72, 257.9, 0.74)","(290.5, 264.66, 0.71)","(295.09, 266.53, 0.81)","(0.0, 0.0, 0.0)","(292.58, 279.57, 0.67)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(286.19, 286.07, 0.78)","(289.73, 287.26, 0.87)","(296.22, 302.17, 0.59)","(298.42, 302.94, 0.84)","(292.79, 320.18, 0.43)","(289.63, 321.32, 0.73)"
1,"[489.58, 251.73, 43.27, 62.93]",0.494,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(511.09, 252.8, 0.29)","(501.06, 259.26, 0.71)","(514.44, 258.82, 0.53)","(492.72, 267.18, 0.69)","(521.96, 270.09, 0.46)","(0.0, 0.0, 0.0)","(530.81, 281.07, 0.25)","(504.39, 278.93, 0.8)","(512.06, 278.38, 0.72)","(511.06, 296.19, 0.74)","(514.33, 296.12, 0.65)","(517.01, 309.96, 0.51)","(518.08, 310.54, 0.49)"
