Frame,Bbox,Score,Category_ID,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17
1,"[1179.4, 158.33, 26.34, 57.44]",0.902,1,"(1194.14, 160.61, 0.67)","(1195.56, 159.39, 0.74)","(1193.07, 159.16, 0.68)","(1198.01, 160.17, 0.88)","(1191.34, 159.62, 0.73)","(1200.86, 167.62, 0.97)","(1187.85, 167.2, 0.99)","(1203.16, 176.32, 0.96)","(1184.75, 176.0, 0.97)","(1202.0, 184.69, 0.81)","(1181.62, 184.4, 0.79)","(1197.67, 185.39, 0.98)","(1189.76, 185.28, 1.0)","(1197.78, 198.92, 0.93)","(1189.55, 198.97, 0.95)","(1197.01, 211.26, 0.89)","(1188.54, 212.66, 0.89)"
1,"[346.37, 220.68, 25.46, 58.42]",0.796,1,"(353.54, 223.4, 0.67)","(354.55, 221.97, 0.76)","(352.47, 222.28, 0.66)","(357.1, 222.05, 0.84)","(351.17, 223.2, 0.63)","(362.29, 227.36, 0.92)","(350.22, 229.8, 0.94)","(369.08, 231.93, 0.9)","(348.8, 237.03, 0.86)","(367.01, 238.9, 0.76)","(350.21, 239.86, 0.71)","(362.82, 244.57, 0.9)","(356.23, 246.2, 0.91)","(361.54, 258.76, 0.83)","(362.51, 258.32, 0.73)","(362.82, 275.76, 0.76)","(0.0, 0.0, 0.0)"
1,"[584.08, 615.58, 45.79, 105.42]",0.811,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(604.84, 617.86, 0.8)","(615.02, 618.59, 0.89)","(596.81, 631.77, 0.98)","(619.7, 634.04, 1.0)","(591.22, 648.91, 0.96)","(623.87, 654.26, 0.98)","(588.04, 664.08, 0.95)","(625.88, 670.61, 0.93)","(600.33, 666.14, 0.97)","(614.91, 667.21, 0.98)","(596.34, 690.99, 0.92)","(613.55, 692.27, 0.91)","(590.97, 714.51, 0.76)","(611.56, 715.04, 0.71)"
1,"[15.98, 527.68, 56.49, 87.58]",0.788,1,"(53.59, 530.34, 0.65)","(0.0, 0.0, 0.0)","(51.83, 528.91, 0.74)","(0.0, 0.0, 0.0)","(45.3, 530.36, 0.84)","(54.69, 538.77, 0.97)","(34.7, 540.67, 0.95)","(59.06, 550.92, 0.94)","(24.89, 553.26, 0.95)","(0.0, 0.0, 0.0)","(25.99, 567.62, 0.53)","(53.01, 568.74, 0.96)","(38.61, 569.21, 1.0)","(62.21, 587.82, 0.96)","(30.97, 591.66, 0.98)","(67.38, 604.61, 0.86)","(21.32, 609.92, 0.92)"
1,"[865.72, 275.01, 27.08, 68.13]",0.755,1,"(878.79, 277.55, 0.57)","(879.96, 276.0, 0.61)","(877.6, 276.06, 0.57)","(882.14, 276.66, 0.71)","(875.74, 276.66, 0.68)","(886.43, 284.76, 0.88)","(872.44, 285.19, 0.92)","(889.96, 294.27, 0.68)","(870.03, 295.67, 0.81)","(888.87, 304.42, 0.49)","(872.03, 304.04, 0.62)","(884.31, 306.04, 0.79)","(875.25, 306.33, 0.84)","(884.72, 324.04, 0.73)","(871.74, 323.16, 0.82)","(885.93, 339.81, 0.61)","(869.21, 337.96, 0.75)"
1,"[200.46, 485.19, 35.44, 90.93]",0.766,1,"(226.95, 487.84, 0.52)","(0.0, 0.0, 0.0)","(225.32, 486.23, 0.61)","(0.0, 0.0, 0.0)","(219.75, 488.13, 0.77)","(226.43, 496.38, 0.92)","(210.41, 500.09, 0.93)","(228.35, 508.94, 0.81)","(204.02, 514.16, 1.0)","(232.75, 519.88, 0.7)","(215.32, 521.88, 0.73)","(226.24, 525.72, 0.9)","(217.26, 527.31, 0.94)","(225.16, 547.89, 0.81)","(223.57, 549.25, 0.9)","(219.71, 567.87, 0.5)","(219.04, 571.74, 0.84)"
1,"[846.33, 411.21, 40.17, 74.75]",0.745,1,"(865.99, 414.15, 0.69)","(867.93, 412.67, 0.76)","(865.41, 412.28, 0.55)","(872.34, 413.87, 0.87)","(0.0, 0.0, 0.0)","(877.58, 423.25, 0.95)","(862.41, 422.39, 0.96)","(883.18, 433.71, 0.82)","(855.62, 430.03, 0.86)","(0.0, 0.0, 0.0)","(849.38, 436.19, 0.71)","(873.58, 449.4, 0.91)","(864.1, 448.42, 1.0)","(871.41, 469.01, 0.76)","(864.67, 468.12, 0.88)","(0.0, 0.0, 0.0)","(869.92, 483.07, 0.62)"
1,"[102.02, 212.07, 30.96, 58.59]",0.731,1,"(112.17, 214.36, 0.56)","(112.89, 212.93, 0.53)","(110.76, 213.12, 0.58)","(0.0, 0.0, 0.0)","(107.85, 214.13, 0.72)","(117.38, 221.35, 0.88)","(105.53, 221.84, 0.85)","(120.9, 229.67, 0.78)","(104.41, 231.17, 0.64)","(122.48, 237.05, 0.51)","(0.0, 0.0, 0.0)","(117.73, 240.47, 0.96)","(109.09, 241.1, 0.91)","(123.69, 254.06, 0.88)","(107.98, 254.86, 0.87)","(129.65, 263.89, 0.78)","(109.16, 267.09, 0.86)"
1,"[855.3, 477.32, 48.13, 72.34]",0.7,1,"(879.55, 480.73, 0.45)","(880.89, 478.78, 0.53)","(0.0, 0.0, 0.0)","(885.98, 478.97, 0.62)","(0.0, 0.0, 0.0)","(891.0, 488.35, 0.85)","(879.86, 487.25, 0.81)","(900.04, 498.25, 0.82)","(0.0, 0.0, 0.0)","(893.53, 502.86, 0.51)","(0.0, 0.0, 0.0)","(889.22, 512.25, 0.96)","(880.27, 511.13, 0.98)","(877.4, 529.48, 0.92)","(863.78, 527.33, 1.0)","(879.06, 543.61, 0.83)","(859.81, 545.15, 0.96)"
1,"[112.66, 324.75, 31.45, 70.87]",0.682,1,"(130.71, 327.28, 0.58)","(131.22, 325.63, 0.46)","(128.99, 326.07, 0.67)","(0.0, 0.0, 0.0)","(124.9, 326.92, 0.8)","(135.58, 332.1, 0.92)","(120.78, 334.76, 0.96)","(141.19, 338.75, 0.8)","(115.58, 343.07, 0.82)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(137.41, 352.88, 0.88)","(128.44, 354.9, 0.92)","(138.29, 371.56, 0.72)","(137.88, 371.86, 0.82)","(0.0, 0.0, 0.0)","(139.19, 391.86, 0.73)"
