frame_number,ID,x_coordinate_pitch,y_coordinate_pitch,x_coordinate_pixel,y_coordinate_pixel,x_min_coordinate_pixel,y_min_coordinate_pixel,x_max_coordinate_pixel,y_max_coordinate_pixel,x_coordinate_hpe_keypoint_0,y_coordinate_hpe_keypoint_0,x_coordinate_hpe_keypoint_1,y_coordinate_hpe_keypoint_1,x_coordinate_hpe_keypoint_2,y_coordinate_hpe_keypoint_2,x_coordinate_hpe_keypoint_3,y_coordinate_hpe_keypoint_3,x_coordinate_hpe_keypoint_4,y_coordinate_hpe_keypoint_4,x_coordinate_hpe_keypoint_5,y_coordinate_hpe_keypoint_5,x_coordinate_hpe_keypoint_6,y_coordinate_hpe_keypoint_6,x_coordinate_hpe_keypoint_7,y_coordinate_hpe_keypoint_7,x_coordinate_hpe_keypoint_8,y_coordinate_hpe_keypoint_8,x_coordinate_hpe_keypoint_9,y_coordinate_hpe_keypoint_9,x_coordinate_hpe_keypoint_10,y_coordinate_hpe_keypoint_10,x_coordinate_hpe_keypoint_11,y_coordinate_hpe_keypoint_11,x_coordinate_hpe_keypoint_12,y_coordinate_hpe_keypoint_12,x_coordinate_hpe_keypoint_13,y_coordinate_hpe_keypoint_13,x_coordinate_hpe_keypoint_14,y_coordinate_hpe_keypoint_14,x_coordinate_hpe_keypoint_15,y_coordinate_hpe_keypoint_15,x_coordinate_hpe_keypoint_16,y_coordinate_hpe_keypoint_16,distance_to_field_keypoint_2,distance_to_field_keypoint_3,distance_to_field_keypoint_8,distance_to_field_keypoint_9,distance_to_field_keypoint_12,distance_to_field_keypoint_13,distance_to_field_keypoint_16,distance_to_field_keypoint_17,distance_to_field_keypoint_26,distance_to_field_keypoint_27,distance_to_field_keypoint_28,distance_to_field_keypoint_29,distance_to_field_keypoint_42,distance_traveled_1_frames,velocity_1_frames,acceleration_1_frames,distance_traveled_3_frames,velocity_3_frames,acceleration_3_frames,distance_traveled_5_frames,velocity_5_frames,acceleration_5_frames,distance_traveled_10_frames,velocity_10_frames,acceleration_10_frames,distance_traveled_20_frames,velocity_20_frames,acceleration_20_frames,direction_1_frames,direction_3_frames,direction_5_frames,direction_10_frames,distance_to_ball_pitch,distance_to_ball_pixel,distance_ball_to_hpe_keypoint_0,distance_ball_to_hpe_keypoint_1,distance_ball_to_hpe_keypoint_2,distance_ball_to_hpe_keypoint_3,distance_ball_to_hpe_keypoint_4,distance_ball_to_hpe_keypoint_5,distance_ball_to_hpe_keypoint_6,distance_ball_to_hpe_keypoint_7,distance_ball_to_hpe_keypoint_8,distance_ball_to_hpe_keypoint_9,distance_ball_to_hpe_keypoint_10,distance_ball_to_hpe_keypoint_11,distance_ball_to_hpe_keypoint_12,distance_ball_to_hpe_keypoint_13,distance_ball_to_hpe_keypoint_14,distance_ball_to_hpe_keypoint_15,distance_ball_to_hpe_keypoint_16,angle_to_ball,angle_to_ball_pixels,min_angle_to_other_players,max_angle_to_other_players,avg_angle_to_other_players,team_Team_1,team_Team_2,team_Goalkeeper_Team_1,team_Goalkeeper_Team_2,team_Referee
0,0.0,68.2608,31.888407,118.5,278.0,100.0,207.0,137.0,278.0,112.17,214.36,112.89,212.93,110.76,213.12,0.0,0.0,107.85,214.13,117.38,221.35,105.53,221.84,120.9,229.67,104.41,231.17,122.48,237.05,0.0,0.0,117.73,240.47,109.09,241.1,123.69,254.06,107.98,254.86,129.65,263.89,109.16,267.09,68.50352701386879,68.27813670525533,56.345002299453085,54.81391126767639,77.22424763893767,75.34193879826438,30.086602002600316,27.111053177591618,36.77139207568464,37.188231156940475,51.51519918084524,48.64811471294241,15.901627094790864,,,,,,,,,,,,,,,,62.906151538844156,-7.4304509537092125,-10.297366508761412,-66.60152293644201,19.780981850938,750.8836461130313,958.0109602713321,958.0109602713321,958.0109602713321,958.0109602713321,75.02749429375868,958.0109602713321,71.26985126966385,958.0109602713321,958.0109602713321,958.0109602713321,958.0109602713321,66.56101636844204,75.7911874824507,82.63945062740918,101.94375017626145,98.46719758376396,104.53151869173237,70.96047453266327,21.182736337161767,-41.957216863795516,104.12335838720381,51.25725406253136,1,0,0,0,0
0,5.0,64.37279,59.110294,218.5,582.0,200.0,475.0,237.0,582.0,226.95,487.84,0.0,0.0,225.32,486.23,0.0,0.0,219.75,488.13,226.43,496.38,210.41,500.09,228.35,508.94,204.02,514.16,232.75,519.88,215.32,521.88,226.24,525.72,217.26,527.31,225.16,547.89,223.57,549.25,219.71,567.87,219.04,571.74,67.8557293131832,70.50539197832879,48.129079574019514,65.8809382493207,64.98371052857864,87.3949807745255,24.631827056836993,51.28953721887567,49.77675087975051,45.94686747484473,41.58842704634373,71.72584816303417,27.77570817070858,,,,,,,,,,,,,,,,-56.247734796268055,-82.92342109034638,-73.28078541636498,-28.47055755512012,13.400674407295245,577.0600055453506,958.0109602713321,958.0109602713321,958.0109602713321,958.0109602713321,750.0956067728966,767.5212612690283,749.5721884515193,770.1376750296014,748.8539110534177,958.0109602713321,745.3160916684946,769.2215506601462,756.4442473176725,772.0642717416731,752.4433716898568,778.8063290061272,754.8424546221548,-39.495408366153235,-4.287911493899774,-84.40258051738267,166.99729192373303,-17.146141569771558,0,1,0,0,0
0,3.0,82.91111,52.637466,970.5,382.0,958.0,295.0,983.0,382.0,967.75,306.63,969.36,305.16,0.0,0.0,972.76,305.85,0.0,0.0,975.7,314.69,964.98,312.05,979.07,327.02,0.0,0.0,977.65,338.69,0.0,0.0,972.8,337.31,965.64,336.56,974.92,354.78,965.47,351.63,977.13,371.92,968.25,364.36,84.25482952859356,85.85443092106578,66.4283319012152,76.90840704038492,84.32235520045116,98.20873189855047,5.789943875068451,39.188049765049115,31.379136773875896,26.693505104911107,26.905882301916932,57.08434055864112,35.66778324739268,,,,,,,,,,,,,,,,-68.91130849863272,-65.22594332816895,-74.58704543475159,-65.54838289850692,8.449848736707722,302.3214349000084,249.68385870936874,250.68937352827703,251.67136706427294,249.28953327406265,251.9005138938783,242.505973534674,246.4087892101254,238.10490650131507,240.41491842229757,958.0109602713321,231.31544695501853,224.29509178758238,228.0636711534742,209.3316576631447,215.1158618047493,195.41266335629325,202.53419760623143,-165.95794203773218,138.66669780798122,-157.63683185493235,161.63314821755014,-7.748165911443542,0,1,0,0,0
0,6.0,72.65784,61.790756,716.0,558.0,688.0,462.0,744.0,558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.08,473.61,716.77,484.05,703.89,482.58,0.0,0.0,693.76,488.04,0.0,0.0,0.0,0.0,713.88,508.16,705.95,508.16,725.04,526.04,717.28,524.78,732.64,547.29,0.0,0.0,76.56329000358899,79.16869594143398,56.67524858847353,73.83778676495862,72.92267118859952,95.3795513721903,17.58849871195012,50.49049651887469,45.105838481443826,40.358290650379935,32.93281374749929,69.74319370381002,34.33168391797705,,,,,,,,,,,,,,,,-25.435428101188847,-42.306365888882816,-21.955795058715022,67.58334213906383,11.390586638731088,108.18964830333815,958.0109602713321,958.0109602713321,958.0109602713321,958.0109602713321,75.94850492274355,63.38591720563803,71.85948302068417,958.0109602713321,69.59712996956127,958.0109602713321,78.38232581392309,69.25905644751447,76.79934439824343,82.14342396077728,104.79528853913237,93.03199288416866,118.21781803095502,-79.60151077618649,-14.036243467926479,-170.29609570793076,125.6989902393578,-61.984287736756706,1,0,0,0,0
0,7.0,65.70109,45.556946,130.5,401.0,112.0,317.0,149.0,401.0,130.71,327.28,131.22,325.63,128.99,326.07,0.0,0.0,124.9,326.92,135.58,332.1,120.78,334.76,141.19,338.75,115.58,343.07,0.0,0.0,0.0,0.0,137.41,352.88,128.44,354.9,138.29,371.56,137.88,371.86,0.0,0.0,139.19,391.86,66.17516716962848,67.43800233265871,49.9458470355415,58.532704257027774,69.42855061011178,79.95041131055615,24.364543317260157,39.05279506772358,42.138529741449794,40.086460059222524,45.25588547329751,60.16510449486871,17.545133779759627,,,,,,,,,,,,,,,,-44.882197564529285,-26.91287656583806,-13.65754551906724,-19.399472110885394,10.321442909319853,697.7580167937879,526.3269014595397,958.0109602713321,528.3759983193786,958.0109602713321,532.7374742779036,532.6740734257676,531.1028116099557,958.0109602713321,533.05472533315,958.0109602713321,958.0109602713321,537.4347295253629,531.5912216167607,539.7086866078774,512.363448540194,553.9023961854651,510.9330231057687,29.167472491987787,11.783852797858337,-79.39303974233935,107.39102333897546,14.475484691674847,0,1,0,0,0
0,8.0,82.477745,49.032154,879.0,351.0,864.0,268.0,894.0,351.0,878.79,277.55,879.96,276.0,877.6,276.06,882.14,276.66,875.74,276.66,886.43,284.76,872.44,285.19,889.96,294.27,870.03,295.67,888.87,304.42,872.03,304.04,884.31,306.04,875.25,306.33,884.72,324.04,871.74,323.16,885.93,339.81,869.21,337.96,83.25942505880371,84.56714084523628,66.17594116838997,74.77196539233348,84.63071314995022,95.95170953970243,7.903157687675995,35.69385830288426,29.26217437146525,25.235003454142014,29.445392618831995,53.95742860625802,33.53551632276287,,,,,,,,,,,,,,,,-63.47442327778922,-59.45237076237883,-60.5225316317256,-59.668682853393136,7.918192268475343,284.6225570821821,958.0109602713321,958.0109602713321,958.0109602713321,958.0109602713321,356.2282563188945,345.397935431004,353.00191954152314,337.3583637617422,349.26969650973155,329.770328865409,344.6346205766333,333.83453820717835,338.49870221316945,323.7843371752253,328.59662353712645,317.5581680574443,322.7565066733744,168.67378917626934,114.83309312443622,-168.29695397938139,153.04877522338137,15.767220085118433,1,0,0,0,0
0,9.0,73.993195,35.27869,360.0,280.0,345.0,217.0,375.0,280.0,353.54,223.4,354.55,221.97,352.47,222.28,357.1,222.05,351.17,223.2,362.29,227.36,350.22,229.8,369.08,231.93,348.8,237.03,367.01,238.9,350.21,239.86,362.82,244.57,356.23,246.2,361.54,258.76,362.51,258.32,362.82,275.76,0.0,0.0,74.03118230636169,74.15716305667664,60.51110436421345,61.35679418475508,80.90535798173677,81.97303725091139,23.802809326747187,25.877329327021844,31.396082093123013,31.097348630733006,45.07888739018047,46.96815915407905,21.531197417652805,,,,,,,,,,,,,,,,66.8235997071158,76.972427530676,90.96579808330713,42.13393434819126,15.3255045501673,538.8023756443544,958.0109602713321,958.0109602713321,958.0109602713321,465.8798310723485,456.2803468263782,478.470051831878,459.55259818654054,494.5175908903545,467.062065682924,958.0109602713321,958.0109602713321,958.0109602713321,958.0109602713321,958.0109602713321,958.0109602713321,958.0109602713321,958.0109602713321,87.30510355612545,30.94424826605411,-149.39883141395327,128.89527288411364,37.98594031618446,0,0,0,0,1
0,10.0,97.767006,39.159225,1193.0,224.0,1179.0,153.0,1207.0,224.0,1194.14,160.61,1195.56,159.39,1193.07,159.16,1198.01,160.17,1191.34,159.62,1200.86,167.62,1187.85,167.2,1203.16,176.32,1184.75,176.0,1202.0,184.69,1181.62,184.4,1197.67,185.39,1189.76,185.28,1197.78,198.92,1189.55,198.97,1197.01,211.26,1188.54,212.66,97.77865415387093,98.16307808903896,82.63806370227431,85.11687931808146,101.9322212182466,105.31776861276306,17.623867904693473,26.952445015430047,11.39818655000118,7.388772892447491,29.733928082233408,39.82161652024395,45.56006400769718,,,,,,,,,,,,,,,,-34.682252605220704,-26.966447447045763,-28.882851679084187,-31.042229645562056,25.730366926288077,556.5941070474965,351.3810758990871,352.84642905944224,352.195773114897,353.75459120695524,958.0109602713321,350.232549172689,347.02208719330827,344.6655371515986,340.5456405535094,336.9485422137927,334.12584171237035,336.80571803340865,334.9342957954589,325.89256343157024,321.91225201908674,314.8000357369739,309.0900498236719,153.6313357180701,141.84908421550367,-170.7295121919031,168.716641783122,44.63382365485905,0,0,0,1,0
0,11.0,76.859665,59.439304,867.0,494.0,844.0,404.0,890.0,494.0,865.99,414.15,867.93,412.67,865.41,412.28,872.34,413.87,0.0,0.0,877.58,423.25,862.41,422.39,883.18,433.71,855.62,430.03,0.0,0.0,849.38,436.19,873.58,449.4,864.1,448.42,871.41,469.01,864.67,468.12,0.0,0.0,869.92,483.07,79.88855910133803,82.18026356020256,60.590972012483995,75.64174654364633,77.33494424342283,97.16192151753185,12.785700660141515,47.05190827295274,40.47302912132964,35.590058200565224,29.41366975684872,65.76404306618215,35.2214633536426,,,,,,,,,,,,,,,,-71.68472730168392,-4.366986460006141,-21.3830273477488,-38.798852014217,9.10844906691661,154.434452114805,958.0109602713321,958.0109602713321,958.0109602713321,109.47816448954556,110.65301125590754,99.87813023880655,102.87694250899952,87.76618255341857,96.92179579434134,77.07433879054689,958.0109602713321,75.6784388052502,78.67390164470048,65.3095896480754,61.83929009941823,958.0109602713321,43.384302460682704,-103.62669435151716,149.03624346792648,-178.4906971269236,178.54501079120354,-26.628937747323096,1,0,0,0,0
0,12.0,68.024506,68.23896,607.0,719.0,581.0,602.0,633.0,719.0,0.0,0.0,0.0,0.0,0.0,0.0,604.84,617.86,615.02,618.59,596.81,631.77,619.7,634.04,591.22,648.91,623.87,654.26,588.04,664.08,625.88,670.61,600.33,666.14,614.91,667.21,596.34,690.99,613.55,692.27,590.97,714.51,611.56,715.04,74.58564107359345,77.86466897280283,53.41604141336606,74.91951466556071,68.02492533039513,96.35294008174967,24.854469853140852,58.115444325320425,52.941104021780134,47.98824517691485,36.976266536883024,77.61277525767277,37.59410425454938,,,,,,,,,,,,,,,,-60.2932353510991,-66.28285363052589,-64.32608639558728,-53.66292142186302,18.876682649867227,195.4328529188478,958.0109602713321,958.0109602713321,958.0109602713321,492.5070259397321,482.78953354437994,505.3497270208029,485.64368254925336,958.0109602713321,958.0109602713321,958.0109602713321,958.0109602713321,958.0109602713321,958.0109602713321,958.0109602713321,958.0109602713321,958.0109602713321,958.0109602713321,-69.2454072018839,-44.21517539700812,-128.9651183985662,-36.168286617656626,-70.58278191936152,1,0,0,0,0
